ruido4,ruido12,ruido20,nombre,fecha
64,103,46,Barakaldo,2023-11-13
53,92,86,Bilbao,2023-11-13
69,130,80,Alcobendas,2023-11-13
64,70,53,Mostoles,2023-11-13
33,76,47,Barakaldo,2023-11-12
30,127,45,Bilbao,2023-11-12
56,135,48,Alcobendas,2023-11-12
62,133,75,Mostoles,2023-11-12
61,74,73,Barakaldo,2023-11-11
35,135,68,Bilbao,2023-11-11
71,73,78,Alcobendas,2023-11-11
34,66,76,Mostoles,2023-11-11
47,115,72,Barakaldo,2023-11-10
32,76,69,Bilbao,2023-11-10
36,139,96,Alcobendas,2023-11-10
34,139,69,Mostoles,2023-11-10
53,119,97,Barakaldo,2023-11-09
78,114,80,Bilbao,2023-11-09
62,119,48,Alcobendas,2023-11-09
74,125,63,Mostoles,2023-11-09
57,118,40,Barakaldo,2023-11-08
43,122,59,Bilbao,2023-11-08
74,107,59,Alcobendas,2023-11-08
47,121,76,Mostoles,2023-11-08
74,107,82,Barakaldo,2023-11-07
43,63,64,Bilbao,2023-11-07
36,132,59,Alcobendas,2023-11-07
35,62,91,Mostoles,2023-11-07
35,118,67,Barakaldo,2023-11-06
57,109,47,Bilbao,2023-11-06
70,102,51,Alcobendas,2023-11-06
64,134,83,Mostoles,2023-11-06
38,91,88,Barakaldo,2023-11-05
44,79,67,Bilbao,2023-11-05
36,90,42,Alcobendas,2023-11-05
54,104,40,Mostoles,2023-11-05
47,111,60,Barakaldo,2023-11-04
45,139,84,Bilbao,2023-11-04
39,126,72,Alcobendas,2023-11-04
52,108,97,Mostoles,2023-11-04
53,86,52,Barakaldo,2023-11-03
51,65,60,Bilbao,2023-11-03
55,133,72,Alcobendas,2023-11-03
46,123,79,Mostoles,2023-11-03
44,107,67,Barakaldo,2023-11-02
69,67,95,Bilbao,2023-11-02
75,60,44,Alcobendas,2023-11-02
34,132,82,Mostoles,2023-11-02
34,112,87,Barakaldo,2023-11-01
49,139,93,Bilbao,2023-11-01
74,96,67,Alcobendas,2023-11-01
55,77,94,Mostoles,2023-11-01
54,125,75,Barakaldo,2023-10-31
30,76,95,Bilbao,2023-10-31
38,63,64,Alcobendas,2023-10-31
55,131,86,Mostoles,2023-10-31
63,91,63,Barakaldo,2023-10-30
59,100,57,Bilbao,2023-10-30
42,127,56,Alcobendas,2023-10-30
34,96,80,Mostoles,2023-10-30
34,108,93,Barakaldo,2023-10-29
44,112,95,Bilbao,2023-10-29
58,112,87,Alcobendas,2023-10-29
33,92,55,Mostoles,2023-10-29
61,77,57,Barakaldo,2023-10-28
71,125,93,Bilbao,2023-10-28
76,115,90,Alcobendas,2023-10-28
35,125,98,Mostoles,2023-10-28
59,80,63,Barakaldo,2023-10-27
44,65,85,Bilbao,2023-10-27
74,90,40,Alcobendas,2023-10-27
44,92,47,Mostoles,2023-10-27
62,103,72,Barakaldo,2023-10-26
78,61,75,Bilbao,2023-10-26
55,116,51,Alcobendas,2023-10-26
70,62,91,Mostoles,2023-10-26
74,72,84,Barakaldo,2023-10-25
61,63,99,Bilbao,2023-10-25
78,101,60,Alcobendas,2023-10-25
58,95,86,Mostoles,2023-10-25
78,92,64,Barakaldo,2023-10-24
76,135,91,Bilbao,2023-10-24
54,71,87,Alcobendas,2023-10-24
66,88,81,Mostoles,2023-10-24
72,84,58,Barakaldo,2023-10-23
58,82,79,Bilbao,2023-10-23
38,81,96,Alcobendas,2023-10-23
69,116,76,Mostoles,2023-10-23
42,88,61,Barakaldo,2023-10-22
50,132,65,Bilbao,2023-10-22
54,124,65,Alcobendas,2023-10-22
30,61,44,Mostoles,2023-10-22
66,67,87,Barakaldo,2023-10-21
51,133,96,Bilbao,2023-10-21
66,122,56,Alcobendas,2023-10-21
55,76,40,Mostoles,2023-10-21
67,132,72,Barakaldo,2023-10-20
35,87,74,Bilbao,2023-10-20
32,72,90,Alcobendas,2023-10-20
57,68,65,Mostoles,2023-10-20
58,98,80,Barakaldo,2023-10-19
63,72,48,Bilbao,2023-10-19
38,117,53,Alcobendas,2023-10-19
64,94,40,Mostoles,2023-10-19
78,103,86,Barakaldo,2023-10-18
46,112,47,Bilbao,2023-10-18
34,107,86,Alcobendas,2023-10-18
77,81,67,Mostoles,2023-10-18
62,98,77,Barakaldo,2023-10-17
74,110,52,Bilbao,2023-10-17
56,62,58,Alcobendas,2023-10-17
61,126,71,Mostoles,2023-10-17
43,68,44,Barakaldo,2023-10-16
43,113,98,Bilbao,2023-10-16
36,134,46,Alcobendas,2023-10-16
58,136,41,Mostoles,2023-10-16
49,126,81,Barakaldo,2023-10-15
32,121,76,Bilbao,2023-10-15
58,73,41,Alcobendas,2023-10-15
48,66,65,Mostoles,2023-10-15
63,105,40,Barakaldo,2023-10-14
61,90,78,Bilbao,2023-10-14
31,138,85,Alcobendas,2023-10-14
42,108,44,Mostoles,2023-10-14
73,133,41,Barakaldo,2023-10-13
38,123,85,Bilbao,2023-10-13
53,62,40,Alcobendas,2023-10-13
58,68,95,Mostoles,2023-10-13
35,118,78,Barakaldo,2023-10-12
35,104,66,Bilbao,2023-10-12
73,77,55,Alcobendas,2023-10-12
48,115,42,Mostoles,2023-10-12
48,110,91,Barakaldo,2023-10-11
70,120,89,Bilbao,2023-10-11
76,104,60,Alcobendas,2023-10-11
74,110,76,Mostoles,2023-10-11
46,88,86,Barakaldo,2023-10-10
58,127,96,Bilbao,2023-10-10
41,90,78,Alcobendas,2023-10-10
62,85,55,Mostoles,2023-10-10
34,93,87,Barakaldo,2023-10-09
70,103,84,Bilbao,2023-10-09
40,81,61,Alcobendas,2023-10-09
59,105,45,Mostoles,2023-10-09
38,83,80,Barakaldo,2023-10-08
44,80,79,Bilbao,2023-10-08
53,110,56,Alcobendas,2023-10-08
48,89,77,Mostoles,2023-10-08
41,138,71,Barakaldo,2023-10-07
71,60,50,Bilbao,2023-10-07
63,62,86,Alcobendas,2023-10-07
53,91,41,Mostoles,2023-10-07
55,125,63,Barakaldo,2023-10-06
50,99,67,Bilbao,2023-10-06
78,94,52,Alcobendas,2023-10-06
33,107,92,Mostoles,2023-10-06
51,71,92,Barakaldo,2023-10-05
79,95,66,Bilbao,2023-10-05
67,94,54,Alcobendas,2023-10-05
71,94,93,Mostoles,2023-10-05
75,94,56,Barakaldo,2023-10-04
59,71,97,Bilbao,2023-10-04
69,102,74,Alcobendas,2023-10-04
40,138,86,Mostoles,2023-10-04
63,98,51,Barakaldo,2023-10-03
68,68,78,Bilbao,2023-10-03
39,113,40,Alcobendas,2023-10-03
52,102,56,Mostoles,2023-10-03
68,81,86,Barakaldo,2023-10-02
40,122,85,Bilbao,2023-10-02
39,68,44,Alcobendas,2023-10-02
42,112,63,Mostoles,2023-10-02
32,127,68,Barakaldo,2023-10-01
46,83,53,Bilbao,2023-10-01
42,89,83,Alcobendas,2023-10-01
34,69,44,Mostoles,2023-10-01
68,82,68,Barakaldo,2023-09-30
47,81,77,Bilbao,2023-09-30
36,97,79,Alcobendas,2023-09-30
60,63,79,Mostoles,2023-09-30
55,62,71,Barakaldo,2023-09-29
75,69,62,Bilbao,2023-09-29
44,114,99,Alcobendas,2023-09-29
77,99,78,Mostoles,2023-09-29
31,62,86,Barakaldo,2023-09-28
50,101,95,Bilbao,2023-09-28
70,125,86,Alcobendas,2023-09-28
79,125,63,Mostoles,2023-09-28
33,113,82,Barakaldo,2023-09-27
47,86,88,Bilbao,2023-09-27
66,96,93,Alcobendas,2023-09-27
42,94,63,Mostoles,2023-09-27
41,80,78,Barakaldo,2023-09-26
41,80,90,Bilbao,2023-09-26
58,115,72,Alcobendas,2023-09-26
53,62,52,Mostoles,2023-09-26
69,101,71,Barakaldo,2023-09-25
38,66,46,Bilbao,2023-09-25
30,81,71,Alcobendas,2023-09-25
46,73,89,Mostoles,2023-09-25
56,138,69,Barakaldo,2023-09-24
70,77,69,Bilbao,2023-09-24
78,97,86,Alcobendas,2023-09-24
62,61,40,Mostoles,2023-09-24
63,111,80,Barakaldo,2023-09-23
31,102,92,Bilbao,2023-09-23
35,75,86,Alcobendas,2023-09-23
33,115,40,Mostoles,2023-09-23
43,70,53,Barakaldo,2023-09-22
64,70,47,Bilbao,2023-09-22
52,69,56,Alcobendas,2023-09-22
59,116,97,Mostoles,2023-09-22
62,132,56,Barakaldo,2023-09-21
59,98,84,Bilbao,2023-09-21
45,73,96,Alcobendas,2023-09-21
49,95,69,Mostoles,2023-09-21
37,101,54,Barakaldo,2023-09-20
43,99,94,Bilbao,2023-09-20
61,127,60,Alcobendas,2023-09-20
41,95,67,Mostoles,2023-09-20
42,72,98,Barakaldo,2023-09-19
31,62,91,Bilbao,2023-09-19
73,100,54,Alcobendas,2023-09-19
32,83,40,Mostoles,2023-09-19
69,72,72,Barakaldo,2023-09-18
73,118,62,Bilbao,2023-09-18
37,132,70,Alcobendas,2023-09-18
32,107,47,Mostoles,2023-09-18
79,61,46,Barakaldo,2023-09-17
40,73,97,Bilbao,2023-09-17
58,88,46,Alcobendas,2023-09-17
32,111,90,Mostoles,2023-09-17
73,96,61,Barakaldo,2023-09-16
79,73,86,Bilbao,2023-09-16
77,108,86,Alcobendas,2023-09-16
54,89,65,Mostoles,2023-09-16
45,62,68,Barakaldo,2023-09-15
50,64,74,Bilbao,2023-09-15
64,76,49,Alcobendas,2023-09-15
39,100,56,Mostoles,2023-09-15
55,106,40,Barakaldo,2023-09-14
67,139,94,Bilbao,2023-09-14
33,91,43,Alcobendas,2023-09-14
78,82,50,Mostoles,2023-09-14
61,131,43,Barakaldo,2023-09-13
37,61,80,Bilbao,2023-09-13
45,93,87,Alcobendas,2023-09-13
66,122,61,Mostoles,2023-09-13
78,116,52,Barakaldo,2023-09-12
51,99,64,Bilbao,2023-09-12
38,123,70,Alcobendas,2023-09-12
66,73,55,Mostoles,2023-09-12
33,74,70,Barakaldo,2023-09-11
74,102,88,Bilbao,2023-09-11
65,98,49,Alcobendas,2023-09-11
38,101,56,Mostoles,2023-09-11
44,130,40,Barakaldo,2023-09-10
30,82,52,Bilbao,2023-09-10
44,71,73,Alcobendas,2023-09-10
46,94,72,Mostoles,2023-09-10
54,117,50,Barakaldo,2023-09-09
41,132,76,Bilbao,2023-09-09
37,131,60,Alcobendas,2023-09-09
59,129,86,Mostoles,2023-09-09
31,125,98,Barakaldo,2023-09-08
42,113,62,Bilbao,2023-09-08
45,122,43,Alcobendas,2023-09-08
45,74,48,Mostoles,2023-09-08
43,127,79,Barakaldo,2023-09-07
43,97,58,Bilbao,2023-09-07
75,87,94,Alcobendas,2023-09-07
46,65,58,Mostoles,2023-09-07
68,103,70,Barakaldo,2023-09-06
52,82,49,Bilbao,2023-09-06
57,82,98,Alcobendas,2023-09-06
40,97,49,Mostoles,2023-09-06
62,103,90,Barakaldo,2023-09-05
62,124,66,Bilbao,2023-09-05
62,76,41,Alcobendas,2023-09-05
61,105,70,Mostoles,2023-09-05
31,116,98,Barakaldo,2023-09-04
50,113,57,Bilbao,2023-09-04
53,119,92,Alcobendas,2023-09-04
31,74,66,Mostoles,2023-09-04
58,135,58,Barakaldo,2023-09-03
40,131,63,Bilbao,2023-09-03
46,91,59,Alcobendas,2023-09-03
36,63,68,Mostoles,2023-09-03
45,78,97,Barakaldo,2023-09-02
48,93,98,Bilbao,2023-09-02
60,91,60,Alcobendas,2023-09-02
47,88,92,Mostoles,2023-09-02
68,89,59,Barakaldo,2023-09-01
47,96,48,Bilbao,2023-09-01
51,71,73,Alcobendas,2023-09-01
40,131,56,Mostoles,2023-09-01
71,64,83,Barakaldo,2023-08-31
32,135,82,Bilbao,2023-08-31
69,96,70,Alcobendas,2023-08-31
65,66,62,Mostoles,2023-08-31
55,65,52,Barakaldo,2023-08-30
59,109,74,Bilbao,2023-08-30
63,102,77,Alcobendas,2023-08-30
51,62,57,Mostoles,2023-08-30
74,108,44,Barakaldo,2023-08-29
39,116,49,Bilbao,2023-08-29
70,116,51,Alcobendas,2023-08-29
32,64,49,Mostoles,2023-08-29
72,83,44,Barakaldo,2023-08-28
79,93,74,Bilbao,2023-08-28
75,74,79,Alcobendas,2023-08-28
46,131,86,Mostoles,2023-08-28
37,90,42,Barakaldo,2023-08-27
32,101,43,Bilbao,2023-08-27
53,124,74,Alcobendas,2023-08-27
76,106,59,Mostoles,2023-08-27
74,64,87,Barakaldo,2023-08-26
49,96,81,Bilbao,2023-08-26
65,72,94,Alcobendas,2023-08-26
44,109,84,Mostoles,2023-08-26
69,76,75,Barakaldo,2023-08-25
73,95,55,Bilbao,2023-08-25
59,84,70,Alcobendas,2023-08-25
76,97,72,Mostoles,2023-08-25
58,124,74,Barakaldo,2023-08-24
79,119,63,Bilbao,2023-08-24
58,115,77,Alcobendas,2023-08-24
78,92,58,Mostoles,2023-08-24
57,117,83,Barakaldo,2023-08-23
69,109,46,Bilbao,2023-08-23
34,76,80,Alcobendas,2023-08-23
62,118,71,Mostoles,2023-08-23
31,79,52,Barakaldo,2023-08-22
49,98,52,Bilbao,2023-08-22
56,79,78,Alcobendas,2023-08-22
52,138,48,Mostoles,2023-08-22
58,70,48,Barakaldo,2023-08-21
44,75,99,Bilbao,2023-08-21
49,102,96,Alcobendas,2023-08-21
65,139,67,Mostoles,2023-08-21
55,89,86,Barakaldo,2023-08-20
76,109,94,Bilbao,2023-08-20
57,84,65,Alcobendas,2023-08-20
35,81,46,Mostoles,2023-08-20
38,79,82,Barakaldo,2023-08-19
55,128,42,Bilbao,2023-08-19
45,67,46,Alcobendas,2023-08-19
30,101,99,Mostoles,2023-08-19
61,131,48,Barakaldo,2023-08-18
51,87,55,Bilbao,2023-08-18
53,79,57,Alcobendas,2023-08-18
67,136,48,Mostoles,2023-08-18
79,93,82,Barakaldo,2023-08-17
57,64,62,Bilbao,2023-08-17
74,135,92,Alcobendas,2023-08-17
47,62,92,Mostoles,2023-08-17
35,137,58,Barakaldo,2023-08-16
37,101,67,Bilbao,2023-08-16
66,110,71,Alcobendas,2023-08-16
48,127,68,Mostoles,2023-08-16
48,95,87,Barakaldo,2023-08-15
33,93,65,Bilbao,2023-08-15
64,60,90,Alcobendas,2023-08-15
64,76,41,Mostoles,2023-08-15
47,79,84,Barakaldo,2023-08-14
31,63,40,Bilbao,2023-08-14
50,110,41,Alcobendas,2023-08-14
64,123,94,Mostoles,2023-08-14
43,87,65,Barakaldo,2023-08-13
67,62,85,Bilbao,2023-08-13
70,87,74,Alcobendas,2023-08-13
38,139,78,Mostoles,2023-08-13
38,83,57,Barakaldo,2023-08-12
47,129,48,Bilbao,2023-08-12
31,77,79,Alcobendas,2023-08-12
51,91,44,Mostoles,2023-08-12
34,122,54,Barakaldo,2023-08-11
41,67,74,Bilbao,2023-08-11
47,126,67,Alcobendas,2023-08-11
65,116,63,Mostoles,2023-08-11
45,76,71,Barakaldo,2023-08-10
55,97,87,Bilbao,2023-08-10
61,112,52,Alcobendas,2023-08-10
56,70,98,Mostoles,2023-08-10
78,74,79,Barakaldo,2023-08-09
72,64,76,Bilbao,2023-08-09
59,133,57,Alcobendas,2023-08-09
64,115,59,Mostoles,2023-08-09
35,95,93,Barakaldo,2023-08-08
63,73,66,Bilbao,2023-08-08
45,100,58,Alcobendas,2023-08-08
53,122,45,Mostoles,2023-08-08
33,102,91,Barakaldo,2023-08-07
65,124,47,Bilbao,2023-08-07
45,97,89,Alcobendas,2023-08-07
47,100,52,Mostoles,2023-08-07
58,129,40,Barakaldo,2023-08-06
66,102,95,Bilbao,2023-08-06
46,111,92,Alcobendas,2023-08-06
35,61,72,Mostoles,2023-08-06
30,133,72,Barakaldo,2023-08-05
53,61,44,Bilbao,2023-08-05
59,92,57,Alcobendas,2023-08-05
42,71,56,Mostoles,2023-08-05
50,120,71,Barakaldo,2023-08-04
60,70,92,Bilbao,2023-08-04
38,63,54,Alcobendas,2023-08-04
55,125,95,Mostoles,2023-08-04
31,119,61,Barakaldo,2023-08-03
52,74,79,Bilbao,2023-08-03
32,135,77,Alcobendas,2023-08-03
59,121,52,Mostoles,2023-08-03
34,65,50,Barakaldo,2023-08-02
56,132,44,Bilbao,2023-08-02
72,117,94,Alcobendas,2023-08-02
53,128,48,Mostoles,2023-08-02
73,66,68,Barakaldo,2023-08-01
79,117,46,Bilbao,2023-08-01
71,115,43,Alcobendas,2023-08-01
72,80,94,Mostoles,2023-08-01
30,129,48,Barakaldo,2023-07-31
49,87,69,Bilbao,2023-07-31
57,88,95,Alcobendas,2023-07-31
43,120,78,Mostoles,2023-07-31
47,75,56,Barakaldo,2023-07-30
39,73,91,Bilbao,2023-07-30
65,91,52,Alcobendas,2023-07-30
50,109,75,Mostoles,2023-07-30
59,124,66,Barakaldo,2023-07-29
42,108,98,Bilbao,2023-07-29
77,131,49,Alcobendas,2023-07-29
35,122,44,Mostoles,2023-07-29
74,117,61,Barakaldo,2023-07-28
33,128,98,Bilbao,2023-07-28
46,103,44,Alcobendas,2023-07-28
63,127,70,Mostoles,2023-07-28
50,68,82,Barakaldo,2023-07-27
31,91,52,Bilbao,2023-07-27
73,70,49,Alcobendas,2023-07-27
70,63,76,Mostoles,2023-07-27
75,123,63,Barakaldo,2023-07-26
73,126,74,Bilbao,2023-07-26
59,137,54,Alcobendas,2023-07-26
70,131,98,Mostoles,2023-07-26
42,76,60,Barakaldo,2023-07-25
66,126,64,Bilbao,2023-07-25
58,69,90,Alcobendas,2023-07-25
42,125,85,Mostoles,2023-07-25
46,70,62,Barakaldo,2023-07-24
62,74,58,Bilbao,2023-07-24
48,76,51,Alcobendas,2023-07-24
40,125,51,Mostoles,2023-07-24
75,137,64,Barakaldo,2023-07-23
32,90,43,Bilbao,2023-07-23
35,105,67,Alcobendas,2023-07-23
54,89,84,Mostoles,2023-07-23
48,61,83,Barakaldo,2023-07-22
71,133,74,Bilbao,2023-07-22
41,75,52,Alcobendas,2023-07-22
43,113,41,Mostoles,2023-07-22
77,94,56,Barakaldo,2023-07-21
78,137,91,Bilbao,2023-07-21
40,88,43,Alcobendas,2023-07-21
50,113,46,Mostoles,2023-07-21
53,133,82,Barakaldo,2023-07-20
75,103,44,Bilbao,2023-07-20
58,64,51,Alcobendas,2023-07-20
76,125,84,Mostoles,2023-07-20
36,70,74,Barakaldo,2023-07-19
57,109,98,Bilbao,2023-07-19
40,81,52,Alcobendas,2023-07-19
60,95,61,Mostoles,2023-07-19
65,64,75,Barakaldo,2023-07-18
65,101,40,Bilbao,2023-07-18
35,96,82,Alcobendas,2023-07-18
31,92,84,Mostoles,2023-07-18
39,113,53,Barakaldo,2023-07-17
40,108,67,Bilbao,2023-07-17
63,133,55,Alcobendas,2023-07-17
47,64,80,Mostoles,2023-07-17
75,88,73,Barakaldo,2023-07-16
64,105,47,Bilbao,2023-07-16
52,109,51,Alcobendas,2023-07-16
77,94,57,Mostoles,2023-07-16
68,92,84,Barakaldo,2023-07-15
41,104,75,Bilbao,2023-07-15
62,124,50,Alcobendas,2023-07-15
65,66,79,Mostoles,2023-07-15
76,60,95,Barakaldo,2023-07-14
45,77,93,Bilbao,2023-07-14
62,119,40,Alcobendas,2023-07-14
53,112,65,Mostoles,2023-07-14
68,137,91,Barakaldo,2023-07-13
37,131,44,Bilbao,2023-07-13
73,126,90,Alcobendas,2023-07-13
37,72,87,Mostoles,2023-07-13
76,85,43,Barakaldo,2023-07-12
67,139,51,Bilbao,2023-07-12
66,105,40,Alcobendas,2023-07-12
42,106,60,Mostoles,2023-07-12
49,96,57,Barakaldo,2023-07-11
48,92,56,Bilbao,2023-07-11
68,127,59,Alcobendas,2023-07-11
70,113,53,Mostoles,2023-07-11
49,69,55,Barakaldo,2023-07-10
35,106,43,Bilbao,2023-07-10
35,106,69,Alcobendas,2023-07-10
58,101,43,Mostoles,2023-07-10
41,124,83,Barakaldo,2023-07-09
56,114,68,Bilbao,2023-07-09
79,117,63,Alcobendas,2023-07-09
75,86,64,Mostoles,2023-07-09
60,68,68,Barakaldo,2023-07-08
40,68,70,Bilbao,2023-07-08
65,104,78,Alcobendas,2023-07-08
35,72,67,Mostoles,2023-07-08
49,78,64,Barakaldo,2023-07-07
31,64,58,Bilbao,2023-07-07
62,115,93,Alcobendas,2023-07-07
70,138,56,Mostoles,2023-07-07
73,131,91,Barakaldo,2023-07-06
31,102,58,Bilbao,2023-07-06
66,66,88,Alcobendas,2023-07-06
33,82,59,Mostoles,2023-07-06
41,97,68,Barakaldo,2023-07-05
46,78,93,Bilbao,2023-07-05
78,92,45,Alcobendas,2023-07-05
41,68,99,Mostoles,2023-07-05
30,64,56,Barakaldo,2023-07-04
65,108,53,Bilbao,2023-07-04
60,63,64,Alcobendas,2023-07-04
40,117,73,Mostoles,2023-07-04
61,88,74,Barakaldo,2023-07-03
76,61,92,Bilbao,2023-07-03
51,88,98,Alcobendas,2023-07-03
65,128,48,Mostoles,2023-07-03
62,130,97,Barakaldo,2023-07-02
70,79,93,Bilbao,2023-07-02
32,85,91,Alcobendas,2023-07-02
65,65,77,Mostoles,2023-07-02
66,115,48,Barakaldo,2023-07-01
41,100,93,Bilbao,2023-07-01
50,115,69,Alcobendas,2023-07-01
63,98,95,Mostoles,2023-07-01
50,110,50,Barakaldo,2023-06-30
63,136,86,Bilbao,2023-06-30
45,86,63,Alcobendas,2023-06-30
36,117,87,Mostoles,2023-06-30
56,76,73,Barakaldo,2023-06-29
68,130,68,Bilbao,2023-06-29
41,114,60,Alcobendas,2023-06-29
65,87,74,Mostoles,2023-06-29
32,138,41,Barakaldo,2023-06-28
66,117,67,Bilbao,2023-06-28
36,101,45,Alcobendas,2023-06-28
34,86,95,Mostoles,2023-06-28
45,73,40,Barakaldo,2023-06-27
42,78,90,Bilbao,2023-06-27
44,92,72,Alcobendas,2023-06-27
75,112,47,Mostoles,2023-06-27
69,95,63,Barakaldo,2023-06-26
74,71,62,Bilbao,2023-06-26
40,106,64,Alcobendas,2023-06-26
57,128,57,Mostoles,2023-06-26
46,64,85,Barakaldo,2023-06-25
72,68,84,Bilbao,2023-06-25
45,60,49,Alcobendas,2023-06-25
75,81,95,Mostoles,2023-06-25
35,134,74,Barakaldo,2023-06-24
32,119,47,Bilbao,2023-06-24
47,124,76,Alcobendas,2023-06-24
55,100,44,Mostoles,2023-06-24
40,121,78,Barakaldo,2023-06-23
56,78,70,Bilbao,2023-06-23
72,62,69,Alcobendas,2023-06-23
74,134,91,Mostoles,2023-06-23
74,98,58,Barakaldo,2023-06-22
47,68,67,Bilbao,2023-06-22
35,108,66,Alcobendas,2023-06-22
43,88,65,Mostoles,2023-06-22
73,114,63,Barakaldo,2023-06-21
51,91,85,Bilbao,2023-06-21
78,107,84,Alcobendas,2023-06-21
63,83,85,Mostoles,2023-06-21
61,80,41,Barakaldo,2023-06-20
77,79,53,Bilbao,2023-06-20
78,102,95,Alcobendas,2023-06-20
38,75,45,Mostoles,2023-06-20
79,115,42,Barakaldo,2023-06-19
68,131,92,Bilbao,2023-06-19
70,102,60,Alcobendas,2023-06-19
58,82,42,Mostoles,2023-06-19
45,85,83,Barakaldo,2023-06-18
30,104,90,Bilbao,2023-06-18
33,96,63,Alcobendas,2023-06-18
62,87,49,Mostoles,2023-06-18
43,94,93,Barakaldo,2023-06-17
35,129,72,Bilbao,2023-06-17
45,108,76,Alcobendas,2023-06-17
50,132,98,Mostoles,2023-06-17
54,115,64,Barakaldo,2023-06-16
33,77,96,Bilbao,2023-06-16
57,82,77,Alcobendas,2023-06-16
61,116,70,Mostoles,2023-06-16
61,134,94,Barakaldo,2023-06-15
68,102,88,Bilbao,2023-06-15
64,61,77,Alcobendas,2023-06-15
30,139,67,Mostoles,2023-06-15
72,76,47,Barakaldo,2023-06-14
68,129,90,Bilbao,2023-06-14
35,79,67,Alcobendas,2023-06-14
55,97,89,Mostoles,2023-06-14
38,91,58,Barakaldo,2023-06-13
35,127,45,Bilbao,2023-06-13
31,91,63,Alcobendas,2023-06-13
62,65,70,Mostoles,2023-06-13
79,66,51,Barakaldo,2023-06-12
75,110,99,Bilbao,2023-06-12
70,75,57,Alcobendas,2023-06-12
79,128,85,Mostoles,2023-06-12
64,104,87,Barakaldo,2023-06-11
39,76,61,Bilbao,2023-06-11
79,99,95,Alcobendas,2023-06-11
66,80,75,Mostoles,2023-06-11
70,88,82,Barakaldo,2023-06-10
32,66,81,Bilbao,2023-06-10
67,130,76,Alcobendas,2023-06-10
35,108,61,Mostoles,2023-06-10
55,89,88,Barakaldo,2023-06-09
43,131,57,Bilbao,2023-06-09
62,100,70,Alcobendas,2023-06-09
60,86,81,Mostoles,2023-06-09
31,64,50,Barakaldo,2023-06-08
59,132,96,Bilbao,2023-06-08
69,77,48,Alcobendas,2023-06-08
68,73,51,Mostoles,2023-06-08
67,132,56,Barakaldo,2023-06-07
37,71,96,Bilbao,2023-06-07
40,110,65,Alcobendas,2023-06-07
64,100,47,Mostoles,2023-06-07
31,119,46,Barakaldo,2023-06-06
62,99,91,Bilbao,2023-06-06
76,92,43,Alcobendas,2023-06-06
40,86,80,Mostoles,2023-06-06
33,118,73,Barakaldo,2023-06-05
38,98,72,Bilbao,2023-06-05
33,105,68,Alcobendas,2023-06-05
