indice_aire,nombre,fecha
185,Barakaldo,2023-07-18
246,Barakaldo,2023-07-17
280,Barakaldo,2023-07-16
144,Barakaldo,2023-07-15
16,Barakaldo,2023-07-14
163,Barakaldo,2023-07-13
160,Barakaldo,2023-07-12
43,Barakaldo,2023-07-11
203,Barakaldo,2023-07-10
111,Barakaldo,2023-07-09
237,Barakaldo,2023-07-08
37,Barakaldo,2023-07-07
147,Barakaldo,2023-07-06
155,Barakaldo,2023-07-05
254,Barakaldo,2023-07-04
25,Barakaldo,2023-07-03
34,Barakaldo,2023-07-02
127,Barakaldo,2023-07-01
155,Barakaldo,2023-06-30
146,Barakaldo,2023-06-29
135,Barakaldo,2023-06-28
219,Barakaldo,2023-06-27
262,Barakaldo,2023-06-26
288,Barakaldo,2023-06-25
121,Barakaldo,2023-06-24
107,Barakaldo,2023-06-23
272,Barakaldo,2023-06-22
189,Barakaldo,2023-06-21
265,Barakaldo,2023-06-20
233,Barakaldo,2023-06-19
7,Barakaldo,2023-06-18
38,Barakaldo,2023-06-17
188,Barakaldo,2023-06-16
223,Barakaldo,2023-06-15
171,Barakaldo,2023-06-14
61,Barakaldo,2023-06-13
145,Barakaldo,2023-06-12
23,Barakaldo,2023-06-11
208,Barakaldo,2023-06-10
31,Barakaldo,2023-06-09
82,Barakaldo,2023-06-08
69,Barakaldo,2023-06-07
61,Barakaldo,2023-06-06
37,Barakaldo,2023-06-05
103,Barakaldo,2023-06-04
232,Barakaldo,2023-06-03
69,Barakaldo,2023-06-02
22,Barakaldo,2023-06-01
114,Barakaldo,2023-05-31
13,Barakaldo,2023-05-30
256,Barakaldo,2023-05-29
149,Barakaldo,2023-05-28
62,Barakaldo,2023-05-27
150,Barakaldo,2023-05-26
18,Barakaldo,2023-05-25
269,Barakaldo,2023-05-24
153,Barakaldo,2023-05-23
195,Barakaldo,2023-05-22
176,Barakaldo,2023-05-21
103,Barakaldo,2023-05-20
240,Barakaldo,2023-05-19
160,Barakaldo,2023-05-18
173,Barakaldo,2023-05-17
44,Barakaldo,2023-05-16
12,Barakaldo,2023-05-15
20,Barakaldo,2023-05-14
44,Barakaldo,2023-05-13
168,Barakaldo,2023-05-12
215,Barakaldo,2023-05-11
262,Barakaldo,2023-05-10
57,Barakaldo,2023-05-09
192,Barakaldo,2023-05-08
94,Barakaldo,2023-05-07
87,Barakaldo,2023-05-06
24,Barakaldo,2023-05-05
208,Barakaldo,2023-05-04
129,Barakaldo,2023-05-03
208,Barakaldo,2023-05-02
32,Barakaldo,2023-05-01
10,Barakaldo,2023-04-30
26,Barakaldo,2023-04-29
118,Barakaldo,2023-04-28
233,Barakaldo,2023-04-27
277,Barakaldo,2023-04-26
255,Barakaldo,2023-04-25
204,Barakaldo,2023-04-24
94,Barakaldo,2023-04-23
269,Barakaldo,2023-04-22
258,Barakaldo,2023-04-21
233,Barakaldo,2023-04-20
3,Barakaldo,2023-04-19
265,Barakaldo,2023-04-18
291,Barakaldo,2023-04-17
240,Barakaldo,2023-04-16
79,Barakaldo,2023-04-15
248,Barakaldo,2023-04-14
141,Barakaldo,2023-04-13
5,Barakaldo,2023-04-12
124,Barakaldo,2023-04-11
207,Barakaldo,2023-04-10
38,Barakaldo,2023-04-09
274,Barakaldo,2023-04-08
232,Barakaldo,2023-04-07
22,Barakaldo,2023-04-06
175,Barakaldo,2023-04-05
276,Barakaldo,2023-04-04
124,Barakaldo,2023-04-03
238,Barakaldo,2023-04-02
85,Barakaldo,2023-04-01
248,Barakaldo,2023-03-31
188,Barakaldo,2023-03-30
58,Barakaldo,2023-03-29
143,Barakaldo,2023-03-28
54,Barakaldo,2023-03-27
38,Barakaldo,2023-03-26
14,Barakaldo,2023-03-25
289,Barakaldo,2023-03-24
66,Barakaldo,2023-03-23
115,Barakaldo,2023-03-22
66,Barakaldo,2023-03-21
201,Barakaldo,2023-03-20
55,Barakaldo,2023-03-19
212,Barakaldo,2023-03-18
178,Barakaldo,2023-03-17
60,Barakaldo,2023-03-16
288,Barakaldo,2023-03-15
269,Barakaldo,2023-03-14
250,Barakaldo,2023-03-13
266,Barakaldo,2023-03-12
145,Barakaldo,2023-03-11
198,Barakaldo,2023-03-10
298,Barakaldo,2023-03-09
35,Barakaldo,2023-03-08
98,Barakaldo,2023-03-07
12,Barakaldo,2023-03-06
27,Barakaldo,2023-03-05
252,Barakaldo,2023-03-04
116,Barakaldo,2023-03-03
181,Barakaldo,2023-03-02
36,Barakaldo,2023-03-01
172,Barakaldo,2023-02-28
186,Barakaldo,2023-02-27
39,Barakaldo,2023-02-26
41,Barakaldo,2023-02-25
107,Barakaldo,2023-02-24
63,Barakaldo,2023-02-23
298,Barakaldo,2023-02-22
106,Barakaldo,2023-02-21
115,Barakaldo,2023-02-20
201,Barakaldo,2023-02-19
172,Barakaldo,2023-02-18
137,Barakaldo,2023-02-17
101,Barakaldo,2023-02-16
203,Barakaldo,2023-02-15
89,Barakaldo,2023-02-14
150,Barakaldo,2023-02-13
188,Barakaldo,2023-02-12
222,Barakaldo,2023-02-11
61,Barakaldo,2023-02-10
41,Barakaldo,2023-02-09
13,Barakaldo,2023-02-08
280,Barakaldo,2023-02-07
39,Barakaldo,2023-02-06
7,Barakaldo,2023-02-05
165,Barakaldo,2023-02-04
94,Barakaldo,2023-02-03
255,Barakaldo,2023-02-02
197,Barakaldo,2023-02-01
64,Barakaldo,2023-01-31
226,Barakaldo,2023-01-30
257,Barakaldo,2023-01-29
4,Barakaldo,2023-01-28
156,Barakaldo,2023-01-27
90,Barakaldo,2023-01-26
171,Barakaldo,2023-01-25
207,Barakaldo,2023-01-24
155,Barakaldo,2023-01-23
102,Barakaldo,2023-01-22
40,Barakaldo,2023-01-21
136,Barakaldo,2023-01-20
179,Barakaldo,2023-01-19
30,Barakaldo,2023-01-18
42,Barakaldo,2023-01-17
127,Barakaldo,2023-01-16
249,Barakaldo,2023-01-15
94,Barakaldo,2023-01-14
275,Barakaldo,2023-01-13
68,Barakaldo,2023-01-12
48,Barakaldo,2023-01-11
30,Barakaldo,2023-01-10
65,Barakaldo,2023-01-09
272,Barakaldo,2023-01-08
261,Barakaldo,2023-01-07
97,Barakaldo,2023-01-06
130,Barakaldo,2023-01-05
124,Barakaldo,2023-01-04
42,Barakaldo,2023-01-03
13,Barakaldo,2023-01-02
216,Barakaldo,2023-01-01
276,Barakaldo,2022-12-31
187,Barakaldo,2022-12-30
238,Barakaldo,2022-12-29
177,Barakaldo,2022-12-28
107,Barakaldo,2022-12-27
91,Barakaldo,2022-12-26
238,Barakaldo,2022-12-25
274,Barakaldo,2022-12-24
253,Barakaldo,2022-12-23
39,Barakaldo,2022-12-22
103,Barakaldo,2022-12-21
109,Barakaldo,2022-12-20
293,Barakaldo,2022-12-19
44,Barakaldo,2022-12-18
300,Barakaldo,2022-12-17
215,Barakaldo,2022-12-16
22,Barakaldo,2022-12-15
33,Barakaldo,2022-12-14
94,Barakaldo,2022-12-13
188,Barakaldo,2022-12-12
268,Barakaldo,2022-12-11
257,Barakaldo,2022-12-10
48,Barakaldo,2022-12-09
206,Barakaldo,2022-12-08
129,Barakaldo,2022-12-07
265,Barakaldo,2022-12-06
297,Barakaldo,2022-12-05
285,Barakaldo,2022-12-04
231,Barakaldo,2022-12-03
260,Barakaldo,2022-12-02
168,Barakaldo,2022-12-01
70,Barakaldo,2022-11-30
35,Barakaldo,2022-11-29
49,Barakaldo,2022-11-28
271,Barakaldo,2022-11-27
253,Barakaldo,2022-11-26
143,Barakaldo,2022-11-25
141,Barakaldo,2022-11-24
190,Barakaldo,2022-11-23
164,Barakaldo,2022-11-22
198,Barakaldo,2022-11-21
48,Barakaldo,2022-11-20
253,Barakaldo,2022-11-19
290,Barakaldo,2022-11-18
144,Barakaldo,2022-11-17
13,Barakaldo,2022-11-16
59,Barakaldo,2022-11-15
209,Barakaldo,2022-11-14
122,Barakaldo,2022-11-13
155,Barakaldo,2022-11-12
289,Barakaldo,2022-11-11
238,Barakaldo,2022-11-10
7,Barakaldo,2022-11-09
103,Barakaldo,2022-11-08
26,Barakaldo,2022-11-07
145,Barakaldo,2022-11-06
4,Barakaldo,2022-11-05
176,Barakaldo,2022-11-04
169,Barakaldo,2022-11-03
68,Barakaldo,2022-11-02
175,Barakaldo,2022-11-01
111,Barakaldo,2022-10-31
206,Barakaldo,2022-10-30
138,Barakaldo,2022-10-29
143,Barakaldo,2022-10-28
159,Barakaldo,2022-10-27
297,Barakaldo,2022-10-26
204,Barakaldo,2022-10-25
23,Barakaldo,2022-10-24
99,Barakaldo,2022-10-23
257,Barakaldo,2022-10-22
205,Barakaldo,2022-10-21
49,Barakaldo,2022-10-20
228,Barakaldo,2022-10-19
64,Barakaldo,2022-10-18
34,Barakaldo,2022-10-17
107,Barakaldo,2022-10-16
52,Barakaldo,2022-10-15
224,Barakaldo,2022-10-14
199,Barakaldo,2022-10-13
109,Barakaldo,2022-10-12
60,Barakaldo,2022-10-11
157,Barakaldo,2022-10-10
158,Barakaldo,2022-10-09
137,Barakaldo,2022-10-08
67,Barakaldo,2022-10-07
5,Barakaldo,2022-10-06
5,Barakaldo,2022-10-05
265,Barakaldo,2022-10-04
267,Barakaldo,2022-10-03
263,Barakaldo,2022-10-02
119,Barakaldo,2022-10-01
37,Barakaldo,2022-09-30
113,Barakaldo,2022-09-29
283,Barakaldo,2022-09-28
102,Barakaldo,2022-09-27
41,Barakaldo,2022-09-26
127,Barakaldo,2022-09-25
116,Barakaldo,2022-09-24
179,Barakaldo,2022-09-23
33,Barakaldo,2022-09-22
112,Barakaldo,2022-09-21
276,Barakaldo,2022-09-20
231,Barakaldo,2022-09-19
78,Barakaldo,2022-09-18
207,Barakaldo,2022-09-17
142,Barakaldo,2022-09-16
76,Barakaldo,2022-09-15
222,Barakaldo,2022-09-14
208,Barakaldo,2022-09-13
255,Barakaldo,2022-09-12
231,Barakaldo,2022-09-11
223,Barakaldo,2022-09-10
152,Barakaldo,2022-09-09
40,Barakaldo,2022-09-08
19,Barakaldo,2022-09-07
74,Barakaldo,2022-09-06
143,Barakaldo,2022-09-05
286,Barakaldo,2022-09-04
187,Barakaldo,2022-09-03
31,Barakaldo,2022-09-02
153,Barakaldo,2022-09-01
261,Barakaldo,2022-08-31
173,Barakaldo,2022-08-30
109,Barakaldo,2022-08-29
24,Barakaldo,2022-08-28
132,Barakaldo,2022-08-27
30,Barakaldo,2022-08-26
12,Barakaldo,2022-08-25
281,Barakaldo,2022-08-24
231,Barakaldo,2022-08-23
278,Barakaldo,2022-08-22
212,Barakaldo,2022-08-21
203,Barakaldo,2022-08-20
179,Barakaldo,2022-08-19
266,Barakaldo,2022-08-18
193,Barakaldo,2022-08-17
216,Barakaldo,2022-08-16
63,Barakaldo,2022-08-15
156,Barakaldo,2022-08-14
126,Barakaldo,2022-08-13
133,Barakaldo,2022-08-12
226,Barakaldo,2022-08-11
52,Barakaldo,2022-08-10
33,Barakaldo,2022-08-09
118,Barakaldo,2022-08-08
216,Barakaldo,2022-08-07
55,Barakaldo,2022-08-06
173,Barakaldo,2022-08-05
260,Barakaldo,2022-08-04
201,Barakaldo,2022-08-03
294,Barakaldo,2022-08-02
140,Barakaldo,2022-08-01
109,Barakaldo,2022-07-31
150,Barakaldo,2022-07-30
84,Barakaldo,2022-07-29
263,Barakaldo,2022-07-28
173,Barakaldo,2022-07-27
237,Barakaldo,2022-07-26
200,Barakaldo,2022-07-25
251,Barakaldo,2022-07-24
298,Barakaldo,2022-07-23
14,Barakaldo,2022-07-22
75,Barakaldo,2022-07-21
22,Barakaldo,2022-07-20
88,Barakaldo,2022-07-19
267,Barakaldo,2022-07-18
50,Barakaldo,2022-07-17
209,Barakaldo,2022-07-16
8,Barakaldo,2022-07-15
140,Barakaldo,2022-07-14
45,Barakaldo,2022-07-13
218,Barakaldo,2022-07-12
109,Barakaldo,2022-07-11
198,Barakaldo,2022-07-10
127,Barakaldo,2022-07-09
207,Barakaldo,2022-07-08
250,Barakaldo,2022-07-07
272,Barakaldo,2022-07-06
186,Barakaldo,2022-07-05
197,Barakaldo,2022-07-04
106,Barakaldo,2022-07-03
188,Barakaldo,2022-07-02
158,Barakaldo,2022-07-01
127,Barakaldo,2022-06-30
298,Barakaldo,2022-06-29
191,Barakaldo,2022-06-28
244,Barakaldo,2022-06-27
222,Barakaldo,2022-06-26
72,Barakaldo,2022-06-25
2,Barakaldo,2022-06-24
20,Barakaldo,2022-06-23
242,Barakaldo,2022-06-22
217,Barakaldo,2022-06-21
82,Barakaldo,2022-06-20
238,Barakaldo,2022-06-19
122,Barakaldo,2022-06-18
205,Barakaldo,2022-06-17
283,Barakaldo,2022-06-16
58,Barakaldo,2022-06-15
119,Barakaldo,2022-06-14
185,Barakaldo,2022-06-13
201,Barakaldo,2022-06-12
264,Barakaldo,2022-06-11
138,Barakaldo,2022-06-10
264,Barakaldo,2022-06-09
191,Barakaldo,2022-06-08
260,Barakaldo,2022-06-07
85,Barakaldo,2022-06-06
67,Barakaldo,2022-06-05
272,Barakaldo,2022-06-04
134,Barakaldo,2022-06-03
191,Barakaldo,2022-06-02
146,Barakaldo,2022-06-01
261,Barakaldo,2022-05-31
252,Barakaldo,2022-05-30
288,Barakaldo,2022-05-29
290,Barakaldo,2022-05-28
292,Barakaldo,2022-05-27
207,Barakaldo,2022-05-26
134,Barakaldo,2022-05-25
46,Barakaldo,2022-05-24
129,Barakaldo,2022-05-23
249,Barakaldo,2022-05-22
225,Barakaldo,2022-05-21
266,Barakaldo,2022-05-20
168,Barakaldo,2022-05-19
254,Barakaldo,2022-05-18
234,Barakaldo,2022-05-17
31,Barakaldo,2022-05-16
279,Barakaldo,2022-05-15
121,Barakaldo,2022-05-14
69,Barakaldo,2022-05-13
214,Barakaldo,2022-05-12
156,Barakaldo,2022-05-11
106,Barakaldo,2022-05-10
235,Barakaldo,2022-05-09
98,Barakaldo,2022-05-08
152,Barakaldo,2022-05-07
20,Barakaldo,2022-05-06
52,Barakaldo,2022-05-05
236,Barakaldo,2022-05-04
135,Barakaldo,2022-05-03
154,Barakaldo,2022-05-02
151,Barakaldo,2022-05-01
250,Barakaldo,2022-04-30
279,Barakaldo,2022-04-29
20,Barakaldo,2022-04-28
159,Barakaldo,2022-04-27
82,Barakaldo,2022-04-26
284,Barakaldo,2022-04-25
13,Barakaldo,2022-04-24
243,Barakaldo,2022-04-23
151,Barakaldo,2022-04-22
183,Barakaldo,2022-04-21
118,Barakaldo,2022-04-20
272,Barakaldo,2022-04-19
81,Barakaldo,2022-04-18
292,Barakaldo,2022-04-17
46,Barakaldo,2022-04-16
23,Barakaldo,2022-04-15
4,Barakaldo,2022-04-14
293,Barakaldo,2022-04-13
149,Barakaldo,2022-04-12
25,Barakaldo,2022-04-11
56,Barakaldo,2022-04-10
270,Barakaldo,2022-04-09
161,Barakaldo,2022-04-08
40,Barakaldo,2022-04-07
103,Barakaldo,2022-04-06
233,Barakaldo,2022-04-05
59,Barakaldo,2022-04-04
7,Barakaldo,2022-04-03
294,Barakaldo,2022-04-02
201,Barakaldo,2022-04-01
247,Barakaldo,2022-03-31
299,Barakaldo,2022-03-30
107,Barakaldo,2022-03-29
227,Barakaldo,2022-03-28
96,Barakaldo,2022-03-27
282,Barakaldo,2022-03-26
225,Barakaldo,2022-03-25
186,Barakaldo,2022-03-24
4,Barakaldo,2022-03-23
260,Barakaldo,2022-03-22
297,Barakaldo,2022-03-21
69,Barakaldo,2022-03-20
158,Barakaldo,2022-03-19
255,Barakaldo,2022-03-18
33,Barakaldo,2022-03-17
132,Barakaldo,2022-03-16
102,Barakaldo,2022-03-15
261,Barakaldo,2022-03-14
149,Barakaldo,2022-03-13
19,Barakaldo,2022-03-12
256,Barakaldo,2022-03-11
50,Barakaldo,2022-03-10
279,Barakaldo,2022-03-09
236,Barakaldo,2022-03-08
31,Barakaldo,2022-03-07
38,Barakaldo,2022-03-06
86,Barakaldo,2022-03-05
159,Barakaldo,2022-03-04
138,Barakaldo,2022-03-03
239,Barakaldo,2022-03-02
273,Barakaldo,2022-03-01
5,Barakaldo,2022-02-28
288,Barakaldo,2022-02-27
155,Barakaldo,2022-02-26
253,Barakaldo,2022-02-25
175,Barakaldo,2022-02-24
26,Barakaldo,2022-02-23
82,Barakaldo,2022-02-22
140,Barakaldo,2022-02-21
181,Barakaldo,2022-02-20
51,Barakaldo,2022-02-19
235,Barakaldo,2022-02-18
67,Barakaldo,2022-02-17
299,Barakaldo,2022-02-16
213,Barakaldo,2022-02-15
121,Barakaldo,2022-02-14
141,Barakaldo,2022-02-13
200,Barakaldo,2022-02-12
89,Barakaldo,2022-02-11
106,Barakaldo,2022-02-10
193,Barakaldo,2022-02-09
277,Barakaldo,2022-02-08
276,Barakaldo,2022-02-07
273,Barakaldo,2022-02-06
88,Barakaldo,2022-02-05
46,Barakaldo,2022-02-04
259,Barakaldo,2022-02-03
138,Barakaldo,2022-02-02
191,Barakaldo,2022-02-01
101,Barakaldo,2022-01-31
144,Barakaldo,2022-01-30
195,Barakaldo,2022-01-29
215,Barakaldo,2022-01-28
51,Barakaldo,2022-01-27
145,Barakaldo,2022-01-26
5,Barakaldo,2022-01-25
92,Barakaldo,2022-01-24
262,Barakaldo,2022-01-23
189,Barakaldo,2022-01-22
236,Barakaldo,2022-01-21
44,Barakaldo,2022-01-20
289,Barakaldo,2022-01-19
273,Barakaldo,2022-01-18
232,Barakaldo,2022-01-17
46,Barakaldo,2022-01-16
169,Barakaldo,2022-01-15
169,Barakaldo,2022-01-14
159,Barakaldo,2022-01-13
203,Barakaldo,2022-01-12
9,Barakaldo,2022-01-11
179,Barakaldo,2022-01-10
69,Barakaldo,2022-01-09
295,Barakaldo,2022-01-08
287,Barakaldo,2022-01-07
188,Barakaldo,2022-01-06
262,Barakaldo,2022-01-05
142,Barakaldo,2022-01-04
263,Barakaldo,2022-01-03
48,Barakaldo,2022-01-02
249,Barakaldo,2022-01-01
120,Barakaldo,2021-12-31
45,Barakaldo,2021-12-30
215,Barakaldo,2021-12-29
254,Barakaldo,2021-12-28
300,Barakaldo,2021-12-27
281,Barakaldo,2021-12-26
100,Barakaldo,2021-12-25
278,Barakaldo,2021-12-24
115,Barakaldo,2021-12-23
60,Barakaldo,2021-12-22
121,Barakaldo,2021-12-21
245,Barakaldo,2021-12-20
169,Barakaldo,2021-12-19
35,Barakaldo,2021-12-18
262,Barakaldo,2021-12-17
296,Barakaldo,2021-12-16
134,Barakaldo,2021-12-15
128,Barakaldo,2021-12-14
73,Barakaldo,2021-12-13
81,Barakaldo,2021-12-12
213,Barakaldo,2021-12-11
147,Barakaldo,2021-12-10
274,Barakaldo,2021-12-09
186,Barakaldo,2021-12-08
260,Barakaldo,2021-12-07
44,Barakaldo,2021-12-06
239,Barakaldo,2021-12-05
193,Barakaldo,2021-12-04
280,Barakaldo,2021-12-03
194,Barakaldo,2021-12-02
83,Barakaldo,2021-12-01
248,Barakaldo,2021-11-30
154,Barakaldo,2021-11-29
71,Barakaldo,2021-11-28
261,Barakaldo,2021-11-27
198,Barakaldo,2021-11-26
67,Barakaldo,2021-11-25
48,Barakaldo,2021-11-24
76,Barakaldo,2021-11-23
12,Barakaldo,2021-11-22
225,Barakaldo,2021-11-21
48,Barakaldo,2021-11-20
135,Barakaldo,2021-11-19
205,Barakaldo,2021-11-18
289,Barakaldo,2021-11-17
224,Barakaldo,2021-11-16
102,Barakaldo,2021-11-15
129,Barakaldo,2021-11-14
274,Barakaldo,2021-11-13
251,Barakaldo,2021-11-12
254,Barakaldo,2021-11-11
184,Barakaldo,2021-11-10
184,Barakaldo,2021-11-09
151,Barakaldo,2021-11-08
120,Barakaldo,2021-11-07
294,Barakaldo,2021-11-06
267,Barakaldo,2021-11-05
281,Barakaldo,2021-11-04
165,Barakaldo,2021-11-03
228,Barakaldo,2021-11-02
237,Barakaldo,2021-11-01
259,Barakaldo,2021-10-31
251,Barakaldo,2021-10-30
253,Barakaldo,2021-10-29
77,Barakaldo,2021-10-28
16,Barakaldo,2021-10-27
87,Barakaldo,2021-10-26
84,Barakaldo,2021-10-25
34,Barakaldo,2021-10-24
189,Barakaldo,2021-10-23
52,Barakaldo,2021-10-22
133,Barakaldo,2021-10-21
155,Barakaldo,2021-10-20
86,Barakaldo,2021-10-19
243,Barakaldo,2021-10-18
183,Barakaldo,2021-10-17
133,Barakaldo,2021-10-16
210,Barakaldo,2021-10-15
189,Barakaldo,2021-10-14
258,Barakaldo,2021-10-13
272,Barakaldo,2021-10-12
207,Barakaldo,2021-10-11
246,Barakaldo,2021-10-10
127,Barakaldo,2021-10-09
269,Barakaldo,2021-10-08
275,Barakaldo,2021-10-07
35,Barakaldo,2021-10-06
298,Barakaldo,2021-10-05
88,Barakaldo,2021-10-04
49,Barakaldo,2021-10-03
210,Barakaldo,2021-10-02
179,Barakaldo,2021-10-01
70,Barakaldo,2021-09-30
166,Barakaldo,2021-09-29
66,Barakaldo,2021-09-28
295,Barakaldo,2021-09-27
198,Barakaldo,2021-09-26
53,Barakaldo,2021-09-25
113,Barakaldo,2021-09-24
217,Barakaldo,2021-09-23
20,Barakaldo,2021-09-22
293,Barakaldo,2021-09-21
190,Barakaldo,2021-09-20
120,Barakaldo,2021-09-19
196,Barakaldo,2021-09-18
283,Barakaldo,2021-09-17
278,Barakaldo,2021-09-16
184,Barakaldo,2021-09-15
116,Barakaldo,2021-09-14
272,Barakaldo,2021-09-13
160,Barakaldo,2021-09-12
211,Barakaldo,2021-09-11
217,Barakaldo,2021-09-10
139,Barakaldo,2021-09-09
111,Barakaldo,2021-09-08
103,Barakaldo,2021-09-07
283,Barakaldo,2021-09-06
262,Barakaldo,2021-09-05
129,Barakaldo,2021-09-04
146,Barakaldo,2021-09-03
110,Barakaldo,2021-09-02
287,Barakaldo,2021-09-01
52,Barakaldo,2021-08-31
88,Barakaldo,2021-08-30
281,Barakaldo,2021-08-29
82,Barakaldo,2021-08-28
290,Barakaldo,2021-08-27
291,Barakaldo,2021-08-26
269,Barakaldo,2021-08-25
58,Barakaldo,2021-08-24
298,Barakaldo,2021-08-23
220,Barakaldo,2021-08-22
167,Barakaldo,2021-08-21
178,Barakaldo,2021-08-20
53,Barakaldo,2021-08-19
82,Barakaldo,2021-08-18
112,Barakaldo,2021-08-17
75,Barakaldo,2021-08-16
20,Barakaldo,2021-08-15
126,Barakaldo,2021-08-14
256,Barakaldo,2021-08-13
83,Barakaldo,2021-08-12
208,Barakaldo,2021-08-11
286,Barakaldo,2021-08-10
9,Barakaldo,2021-08-09
28,Barakaldo,2021-08-08
259,Barakaldo,2021-08-07
209,Barakaldo,2021-08-06
127,Barakaldo,2021-08-05
222,Barakaldo,2021-08-04
127,Barakaldo,2021-08-03
99,Barakaldo,2021-08-02
256,Barakaldo,2021-08-01
190,Barakaldo,2021-07-31
124,Barakaldo,2021-07-30
191,Barakaldo,2021-07-29
134,Barakaldo,2021-07-28
3,Barakaldo,2021-07-27
55,Barakaldo,2021-07-26
13,Barakaldo,2021-07-25
213,Barakaldo,2021-07-24
187,Barakaldo,2021-07-23
257,Barakaldo,2021-07-22
207,Barakaldo,2021-07-21
165,Barakaldo,2021-07-20
159,Barakaldo,2021-07-19
231,Barakaldo,2021-07-18
126,Barakaldo,2021-07-17
167,Barakaldo,2021-07-16
287,Barakaldo,2021-07-15
208,Barakaldo,2021-07-14
