id,fecha,nombre
164,2022-05-01,Alcobendas
165,2023-01-01,Barakaldo
166,2023-03-01,Barakaldo
167,2023-11-01,Alcobendas
168,2023-09-01,Barakaldo
169,2021-12-01,Alcobendas
170,2022-08-01,Alcobendas
171,2022-06-01,Alcobendas
172,2021-01-01,Barakaldo
173,2023-03-01,Bilbao
174,2023-09-01,Alcobendas
175,2021-01-01,Alcobendas
176,2023-01-01,Bilbao
177,2022-04-01,Bilbao
178,2021-12-01,Mostoles
179,2022-01-01,Barakaldo
180,2021-07-01,Bilbao
181,2022-08-01,Barakaldo
182,2022-05-01,Alcobendas
183,2021-07-01,Bilbao
184,2023-09-01,Mostoles
185,2020-12-01,Bilbao
186,2022-03-01,Mostoles
187,2021-09-01,Alcobendas
188,2023-01-01,Mostoles
189,2022-12-01,Mostoles
190,2021-07-01,Alcobendas
191,2023-07-01,Mostoles
192,2022-07-01,Barakaldo
193,2022-09-01,Alcobendas
194,2023-07-01,Alcobendas
195,2023-04-01,Alcobendas
196,2023-04-01,Alcobendas
197,2022-05-01,Alcobendas
198,2022-03-01,Alcobendas
199,2023-09-01,Mostoles
200,2022-12-01,Bilbao
