co2,ch4,n2o,fecha,nombre
422,886,483,2023-10-07,Barakaldo
729,960,445,2023-10-06,Barakaldo
583,578,507,2023-10-05,Barakaldo
647,713,948,2023-10-04,Barakaldo
776,608,640,2023-10-03,Barakaldo
958,961,401,2023-10-02,Barakaldo
944,321,704,2023-10-01,Barakaldo
567,833,501,2023-09-30,Barakaldo
757,901,785,2023-09-29,Barakaldo
553,683,802,2023-09-28,Barakaldo
403,415,975,2023-09-27,Barakaldo
616,430,301,2023-09-26,Barakaldo
426,589,983,2023-09-25,Barakaldo
840,501,422,2023-09-24,Barakaldo
657,768,938,2023-09-23,Barakaldo
483,442,750,2023-09-22,Barakaldo
351,537,878,2023-09-21,Barakaldo
661,649,350,2023-09-20,Barakaldo
553,528,654,2023-09-19,Barakaldo
485,886,462,2023-09-18,Barakaldo
958,768,985,2023-09-17,Barakaldo
805,576,693,2023-09-16,Barakaldo
331,580,900,2023-09-15,Barakaldo
988,534,967,2023-09-14,Barakaldo
517,829,526,2023-09-13,Barakaldo
476,599,319,2023-09-12,Barakaldo
417,852,852,2023-09-11,Barakaldo
467,707,314,2023-09-10,Barakaldo
432,408,947,2023-09-09,Barakaldo
473,943,466,2023-09-08,Barakaldo
734,383,323,2023-09-07,Barakaldo
692,323,953,2023-09-06,Barakaldo
816,865,651,2023-09-05,Barakaldo
640,478,543,2023-09-04,Barakaldo
388,535,559,2023-09-03,Barakaldo
372,333,753,2023-09-02,Barakaldo
969,826,933,2023-09-01,Barakaldo
311,411,591,2023-08-31,Barakaldo
554,742,583,2023-08-30,Barakaldo
783,851,587,2023-08-29,Barakaldo
690,854,592,2023-08-28,Barakaldo
861,864,514,2023-08-27,Barakaldo
949,858,938,2023-08-26,Barakaldo
860,339,470,2023-08-25,Barakaldo
590,905,973,2023-08-24,Barakaldo
546,861,354,2023-08-23,Barakaldo
785,531,978,2023-08-22,Barakaldo
746,815,553,2023-08-21,Barakaldo
485,321,644,2023-08-20,Barakaldo
679,511,503,2023-08-19,Barakaldo
536,908,490,2023-08-18,Barakaldo
710,800,997,2023-08-17,Barakaldo
703,520,424,2023-08-16,Barakaldo
384,842,866,2023-08-15,Barakaldo
354,863,560,2023-08-14,Barakaldo
779,606,585,2023-08-13,Barakaldo
805,895,420,2023-08-12,Barakaldo
726,441,302,2023-08-11,Barakaldo
927,390,823,2023-08-10,Barakaldo
965,648,351,2023-08-09,Barakaldo
925,319,321,2023-08-08,Barakaldo
695,796,642,2023-08-07,Barakaldo
856,912,937,2023-08-06,Barakaldo
754,918,507,2023-08-05,Barakaldo
573,728,384,2023-08-04,Barakaldo
616,943,827,2023-08-03,Barakaldo
904,800,989,2023-08-02,Barakaldo
905,867,842,2023-08-01,Barakaldo
456,320,682,2023-07-31,Barakaldo
695,670,526,2023-07-30,Barakaldo
438,683,622,2023-07-29,Barakaldo
977,472,888,2023-07-28,Barakaldo
415,502,616,2023-07-27,Barakaldo
821,927,544,2023-07-26,Barakaldo
956,426,329,2023-07-25,Barakaldo
876,686,584,2023-07-24,Barakaldo
773,465,813,2023-07-23,Barakaldo
899,748,803,2023-07-22,Barakaldo
994,578,868,2023-07-21,Barakaldo
890,907,894,2023-07-20,Barakaldo
548,371,644,2023-07-19,Barakaldo
475,678,368,2023-07-18,Barakaldo
441,326,383,2023-07-17,Barakaldo
455,405,556,2023-07-16,Barakaldo
885,687,861,2023-07-15,Barakaldo
775,466,662,2023-07-14,Barakaldo
301,918,939,2023-07-13,Barakaldo
974,990,659,2023-07-12,Barakaldo
496,789,707,2023-07-11,Barakaldo
573,666,571,2023-07-10,Barakaldo
892,623,609,2023-07-09,Barakaldo
678,723,979,2023-07-08,Barakaldo
914,834,769,2023-07-07,Barakaldo
562,457,348,2023-07-06,Barakaldo
966,355,665,2023-07-05,Barakaldo
497,791,839,2023-07-04,Barakaldo
311,568,583,2023-07-03,Barakaldo
992,967,564,2023-07-02,Barakaldo
391,773,867,2023-07-01,Barakaldo
894,301,641,2023-06-30,Barakaldo
327,809,479,2023-06-29,Barakaldo
593,476,759,2023-06-28,Barakaldo
824,534,841,2023-06-27,Barakaldo
559,773,406,2023-06-26,Barakaldo
816,934,557,2023-06-25,Barakaldo
805,925,498,2023-06-24,Barakaldo
375,660,512,2023-06-23,Barakaldo
387,318,930,2023-06-22,Barakaldo
993,564,330,2023-06-21,Barakaldo
580,551,834,2023-06-20,Barakaldo
836,555,406,2023-06-19,Barakaldo
879,352,710,2023-06-18,Barakaldo
456,505,648,2023-06-17,Barakaldo
824,833,828,2023-06-16,Barakaldo
721,765,755,2023-06-15,Barakaldo
924,970,926,2023-06-14,Barakaldo
704,310,618,2023-06-13,Barakaldo
605,818,787,2023-06-12,Barakaldo
747,484,566,2023-06-11,Barakaldo
486,475,778,2023-06-10,Barakaldo
979,462,571,2023-06-09,Barakaldo
329,357,905,2023-06-08,Barakaldo
953,348,829,2023-06-07,Barakaldo
769,759,695,2023-06-06,Barakaldo
606,586,642,2023-06-05,Barakaldo
674,378,335,2023-06-04,Barakaldo
333,956,794,2023-06-03,Barakaldo
552,758,995,2023-06-02,Barakaldo
606,655,767,2023-06-01,Barakaldo
930,368,423,2023-05-31,Barakaldo
931,320,920,2023-05-30,Barakaldo
820,329,538,2023-05-29,Barakaldo
301,435,407,2023-05-28,Barakaldo
577,442,665,2023-05-27,Barakaldo
319,634,384,2023-05-26,Barakaldo
620,646,815,2023-05-25,Barakaldo
948,992,663,2023-05-24,Barakaldo
413,832,597,2023-05-23,Barakaldo
669,618,313,2023-05-22,Barakaldo
824,683,753,2023-05-21,Barakaldo
562,348,427,2023-05-20,Barakaldo
406,902,701,2023-05-19,Barakaldo
482,960,970,2023-05-18,Barakaldo
484,742,649,2023-05-17,Barakaldo
712,767,803,2023-05-16,Barakaldo
725,698,504,2023-05-15,Barakaldo
327,873,896,2023-05-14,Barakaldo
704,355,843,2023-05-13,Barakaldo
714,509,673,2023-05-12,Barakaldo
687,474,604,2023-05-11,Barakaldo
920,354,603,2023-05-10,Barakaldo
360,448,593,2023-05-09,Barakaldo
340,470,805,2023-05-08,Barakaldo
329,846,837,2023-05-07,Barakaldo
733,484,975,2023-05-06,Barakaldo
360,964,636,2023-05-05,Barakaldo
826,311,424,2023-05-04,Barakaldo
365,785,979,2023-05-03,Barakaldo
517,620,700,2023-05-02,Barakaldo
405,673,522,2023-05-01,Barakaldo
445,835,492,2023-04-30,Barakaldo
714,635,742,2023-04-29,Barakaldo
581,577,758,2023-04-28,Barakaldo
399,514,862,2023-04-27,Barakaldo
677,872,769,2023-04-26,Barakaldo
702,724,915,2023-04-25,Barakaldo
660,686,339,2023-04-24,Barakaldo
634,761,532,2023-04-23,Barakaldo
691,873,349,2023-04-22,Barakaldo
767,305,655,2023-04-21,Barakaldo
460,482,947,2023-04-20,Barakaldo
625,686,730,2023-04-19,Barakaldo
729,422,303,2023-04-18,Barakaldo
730,336,821,2023-04-17,Barakaldo
566,454,638,2023-04-16,Barakaldo
885,484,652,2023-04-15,Barakaldo
849,837,953,2023-04-14,Barakaldo
396,492,321,2023-04-13,Barakaldo
756,979,387,2023-04-12,Barakaldo
860,468,566,2023-04-11,Barakaldo
568,390,480,2023-04-10,Barakaldo
720,581,606,2023-04-09,Barakaldo
651,391,670,2023-04-08,Barakaldo
472,451,885,2023-04-07,Barakaldo
910,683,328,2023-04-06,Barakaldo
430,582,728,2023-04-05,Barakaldo
788,679,835,2023-04-04,Barakaldo
929,982,757,2023-04-03,Barakaldo
761,861,658,2023-04-02,Barakaldo
704,738,556,2023-04-01,Barakaldo
313,720,668,2023-03-31,Barakaldo
699,587,543,2023-03-30,Barakaldo
574,650,773,2023-03-29,Barakaldo
548,484,506,2023-03-28,Barakaldo
915,566,991,2023-03-27,Barakaldo
874,850,845,2023-03-26,Barakaldo
778,437,701,2023-03-25,Barakaldo
705,774,343,2023-03-24,Barakaldo
957,563,962,2023-03-23,Barakaldo
753,523,696,2023-03-22,Barakaldo
591,844,322,2023-03-21,Barakaldo
504,548,446,2023-03-20,Barakaldo
974,967,433,2023-03-19,Barakaldo
331,652,534,2023-03-18,Barakaldo
330,863,974,2023-03-17,Barakaldo
932,651,745,2023-03-16,Barakaldo
633,875,511,2023-03-15,Barakaldo
660,860,316,2023-03-14,Barakaldo
683,842,666,2023-03-13,Barakaldo
776,693,390,2023-03-12,Barakaldo
997,396,522,2023-03-11,Barakaldo
937,725,848,2023-03-10,Barakaldo
969,658,792,2023-03-09,Barakaldo
879,411,689,2023-03-08,Barakaldo
917,330,966,2023-03-07,Barakaldo
425,742,440,2023-03-06,Barakaldo
713,391,412,2023-03-05,Barakaldo
902,484,736,2023-03-04,Barakaldo
353,819,518,2023-03-03,Barakaldo
904,356,898,2023-03-02,Barakaldo
607,513,566,2023-03-01,Barakaldo
485,688,508,2023-02-28,Barakaldo
503,606,519,2023-02-27,Barakaldo
627,505,627,2023-02-26,Barakaldo
538,839,609,2023-02-25,Barakaldo
752,518,514,2023-02-24,Barakaldo
573,795,452,2023-02-23,Barakaldo
312,816,402,2023-02-22,Barakaldo
897,498,302,2023-02-21,Barakaldo
902,499,522,2023-02-20,Barakaldo
342,417,997,2023-02-19,Barakaldo
604,634,632,2023-02-18,Barakaldo
308,651,500,2023-02-17,Barakaldo
881,562,779,2023-02-16,Barakaldo
990,634,621,2023-02-15,Barakaldo
680,682,614,2023-02-14,Barakaldo
534,624,397,2023-02-13,Barakaldo
323,368,927,2023-02-12,Barakaldo
387,339,534,2023-02-11,Barakaldo
889,889,672,2023-02-10,Barakaldo
853,763,651,2023-02-09,Barakaldo
916,394,368,2023-02-08,Barakaldo
876,335,832,2023-02-07,Barakaldo
552,610,506,2023-02-06,Barakaldo
715,921,881,2023-02-05,Barakaldo
619,625,521,2023-02-04,Barakaldo
890,593,886,2023-02-03,Barakaldo
443,655,615,2023-02-02,Barakaldo
309,520,504,2023-02-01,Barakaldo
534,903,488,2023-01-31,Barakaldo
688,442,470,2023-01-30,Barakaldo
760,387,457,2023-01-29,Barakaldo
718,677,869,2023-01-28,Barakaldo
632,840,922,2023-01-27,Barakaldo
899,516,329,2023-01-26,Barakaldo
929,849,558,2023-01-25,Barakaldo
633,651,500,2023-01-24,Barakaldo
560,888,955,2023-01-23,Barakaldo
706,578,421,2023-01-22,Barakaldo
805,539,498,2023-01-21,Barakaldo
747,684,651,2023-01-20,Barakaldo
984,727,534,2023-01-19,Barakaldo
613,790,501,2023-01-18,Barakaldo
885,747,324,2023-01-17,Barakaldo
565,324,735,2023-01-16,Barakaldo
364,412,369,2023-01-15,Barakaldo
886,897,911,2023-01-14,Barakaldo
709,416,464,2023-01-13,Barakaldo
491,448,489,2023-01-12,Barakaldo
437,788,302,2023-01-11,Barakaldo
936,357,919,2023-01-10,Barakaldo
449,584,354,2023-01-09,Barakaldo
574,545,681,2023-01-08,Barakaldo
981,567,541,2023-01-07,Barakaldo
907,511,500,2023-01-06,Barakaldo
993,834,998,2023-01-05,Barakaldo
744,505,663,2023-01-04,Barakaldo
965,929,615,2023-01-03,Barakaldo
583,995,450,2023-01-02,Barakaldo
874,457,817,2023-01-01,Barakaldo
544,936,342,2022-12-31,Barakaldo
322,683,854,2022-12-30,Barakaldo
725,939,801,2022-12-29,Barakaldo
419,393,866,2022-12-28,Barakaldo
751,403,312,2022-12-27,Barakaldo
889,907,896,2022-12-26,Barakaldo
892,985,451,2022-12-25,Barakaldo
590,812,712,2022-12-24,Barakaldo
353,755,373,2022-12-23,Barakaldo
414,348,376,2022-12-22,Barakaldo
625,936,446,2022-12-21,Barakaldo
963,554,724,2022-12-20,Barakaldo
706,393,329,2022-12-19,Barakaldo
914,858,841,2022-12-18,Barakaldo
487,623,860,2022-12-17,Barakaldo
763,634,792,2022-12-16,Barakaldo
894,991,835,2022-12-15,Barakaldo
429,984,408,2022-12-14,Barakaldo
387,532,377,2022-12-13,Barakaldo
749,890,393,2022-12-12,Barakaldo
676,874,854,2022-12-11,Barakaldo
329,853,851,2022-12-10,Barakaldo
441,339,766,2022-12-09,Barakaldo
407,711,871,2022-12-08,Barakaldo
980,907,317,2022-12-07,Barakaldo
341,317,788,2022-12-06,Barakaldo
735,655,492,2022-12-05,Barakaldo
516,993,488,2022-12-04,Barakaldo
485,660,718,2022-12-03,Barakaldo
518,533,602,2022-12-02,Barakaldo
700,856,322,2022-12-01,Barakaldo
980,409,970,2022-11-30,Barakaldo
996,556,684,2022-11-29,Barakaldo
870,416,816,2022-11-28,Barakaldo
415,773,603,2022-11-27,Barakaldo
843,967,356,2022-11-26,Barakaldo
913,699,585,2022-11-25,Barakaldo
722,574,313,2022-11-24,Barakaldo
699,852,837,2022-11-23,Barakaldo
536,924,327,2022-11-22,Barakaldo
335,549,303,2022-11-21,Barakaldo
765,922,956,2022-11-20,Barakaldo
447,511,461,2022-11-19,Barakaldo
311,860,363,2022-11-18,Barakaldo
962,304,344,2022-11-17,Barakaldo
424,730,861,2022-11-16,Barakaldo
338,867,619,2022-11-15,Barakaldo
873,637,958,2022-11-14,Barakaldo
881,787,588,2022-11-13,Barakaldo
860,944,739,2022-11-12,Barakaldo
507,686,587,2022-11-11,Barakaldo
519,794,499,2022-11-10,Barakaldo
640,950,898,2022-11-09,Barakaldo
974,407,978,2022-11-08,Barakaldo
960,508,884,2022-11-07,Barakaldo
723,450,682,2022-11-06,Barakaldo
773,651,327,2022-11-05,Barakaldo
574,847,955,2022-11-04,Barakaldo
385,622,771,2022-11-03,Barakaldo
841,731,524,2022-11-02,Barakaldo
500,470,911,2022-11-01,Barakaldo
540,716,301,2022-10-31,Barakaldo
377,508,428,2022-10-30,Barakaldo
538,526,488,2022-10-29,Barakaldo
523,958,526,2022-10-28,Barakaldo
489,806,645,2022-10-27,Barakaldo
577,481,776,2022-10-26,Barakaldo
735,938,633,2022-10-25,Barakaldo
408,428,745,2022-10-24,Barakaldo
913,657,916,2022-10-23,Barakaldo
507,874,361,2022-10-22,Barakaldo
333,704,673,2022-10-21,Barakaldo
807,366,531,2022-10-20,Barakaldo
866,655,477,2022-10-19,Barakaldo
942,574,815,2022-10-18,Barakaldo
888,683,868,2022-10-17,Barakaldo
665,385,650,2022-10-16,Barakaldo
611,373,735,2022-10-15,Barakaldo
653,387,395,2022-10-14,Barakaldo
710,731,822,2022-10-13,Barakaldo
714,561,478,2022-10-12,Barakaldo
641,697,925,2022-10-11,Barakaldo
603,790,727,2022-10-10,Barakaldo
727,435,340,2022-10-09,Barakaldo
952,437,557,2022-10-08,Barakaldo
559,650,778,2022-10-07,Barakaldo
597,605,316,2022-10-06,Barakaldo
441,653,463,2022-10-05,Barakaldo
968,972,609,2022-10-04,Barakaldo
759,311,528,2022-10-03,Barakaldo
809,501,323,2022-10-02,Barakaldo
350,896,807,2022-10-01,Barakaldo
935,464,416,2022-09-30,Barakaldo
963,379,795,2022-09-29,Barakaldo
534,705,685,2022-09-28,Barakaldo
738,333,748,2022-09-27,Barakaldo
606,888,624,2022-09-26,Barakaldo
989,325,867,2022-09-25,Barakaldo
641,685,547,2022-09-24,Barakaldo
930,630,953,2022-09-23,Barakaldo
784,629,735,2022-09-22,Barakaldo
955,759,372,2022-09-21,Barakaldo
322,329,337,2022-09-20,Barakaldo
481,528,524,2022-09-19,Barakaldo
734,889,794,2022-09-18,Barakaldo
372,377,398,2022-09-17,Barakaldo
580,933,889,2022-09-16,Barakaldo
443,333,631,2022-09-15,Barakaldo
569,701,871,2022-09-14,Barakaldo
636,475,300,2022-09-13,Barakaldo
472,979,808,2022-09-12,Barakaldo
929,984,432,2022-09-11,Barakaldo
332,484,313,2022-09-10,Barakaldo
959,747,622,2022-09-09,Barakaldo
318,763,419,2022-09-08,Barakaldo
464,794,708,2022-09-07,Barakaldo
952,627,315,2022-09-06,Barakaldo
985,404,314,2022-09-05,Barakaldo
348,701,557,2022-09-04,Barakaldo
690,806,681,2022-09-03,Barakaldo
541,667,915,2022-09-02,Barakaldo
476,581,407,2022-09-01,Barakaldo
932,723,680,2022-08-31,Barakaldo
583,498,961,2022-08-30,Barakaldo
664,622,535,2022-08-29,Barakaldo
577,706,595,2022-08-28,Barakaldo
920,633,318,2022-08-27,Barakaldo
875,731,562,2022-08-26,Barakaldo
301,573,717,2022-08-25,Barakaldo
879,574,536,2022-08-24,Barakaldo
598,806,991,2022-08-23,Barakaldo
399,920,584,2022-08-22,Barakaldo
882,420,710,2022-08-21,Barakaldo
656,433,354,2022-08-20,Barakaldo
519,634,347,2022-08-19,Barakaldo
511,679,736,2022-08-18,Barakaldo
465,456,338,2022-08-17,Barakaldo
934,663,624,2022-08-16,Barakaldo
977,745,518,2022-08-15,Barakaldo
332,964,955,2022-08-14,Barakaldo
780,826,319,2022-08-13,Barakaldo
720,733,864,2022-08-12,Barakaldo
738,472,394,2022-08-11,Barakaldo
742,616,955,2022-08-10,Barakaldo
668,865,645,2022-08-09,Barakaldo
494,758,654,2022-08-08,Barakaldo
827,425,449,2022-08-07,Barakaldo
901,487,497,2022-08-06,Barakaldo
691,940,528,2022-08-05,Barakaldo
363,769,682,2022-08-04,Barakaldo
449,606,677,2022-08-03,Barakaldo
680,884,567,2022-08-02,Barakaldo
477,444,869,2022-08-01,Barakaldo
699,697,470,2022-07-31,Barakaldo
997,772,337,2022-07-30,Barakaldo
834,675,909,2022-07-29,Barakaldo
639,488,524,2022-07-28,Barakaldo
731,725,921,2022-07-27,Barakaldo
660,820,683,2022-07-26,Barakaldo
650,949,747,2022-07-25,Barakaldo
982,429,948,2022-07-24,Barakaldo
463,444,409,2022-07-23,Barakaldo
846,567,856,2022-07-22,Barakaldo
641,902,589,2022-07-21,Barakaldo
878,607,358,2022-07-20,Barakaldo
327,340,603,2022-07-19,Barakaldo
981,545,357,2022-07-18,Barakaldo
584,415,408,2022-07-17,Barakaldo
880,772,745,2022-07-16,Barakaldo
800,888,580,2022-07-15,Barakaldo
442,724,715,2022-07-14,Barakaldo
813,833,824,2022-07-13,Barakaldo
605,650,822,2022-07-12,Barakaldo
938,320,674,2022-07-11,Barakaldo
644,543,533,2022-07-10,Barakaldo
913,557,851,2022-07-09,Barakaldo
701,853,688,2022-07-08,Barakaldo
524,709,578,2022-07-07,Barakaldo
486,305,681,2022-07-06,Barakaldo
590,421,578,2022-07-05,Barakaldo
784,447,743,2022-07-04,Barakaldo
907,680,890,2022-07-03,Barakaldo
922,679,847,2022-07-02,Barakaldo
697,413,588,2022-07-01,Barakaldo
815,929,691,2022-06-30,Barakaldo
495,837,655,2022-06-29,Barakaldo
316,695,379,2022-06-28,Barakaldo
452,946,544,2022-06-27,Barakaldo
934,676,411,2022-06-26,Barakaldo
627,567,466,2022-06-25,Barakaldo
900,442,389,2022-06-24,Barakaldo
365,407,997,2022-06-23,Barakaldo
591,468,487,2022-06-22,Barakaldo
639,769,516,2022-06-21,Barakaldo
635,804,783,2022-06-20,Barakaldo
981,440,692,2022-06-19,Barakaldo
735,996,318,2022-06-18,Barakaldo
986,608,709,2022-06-17,Barakaldo
954,473,745,2022-06-16,Barakaldo
988,522,764,2022-06-15,Barakaldo
439,716,354,2022-06-14,Barakaldo
606,392,981,2022-06-13,Barakaldo
825,451,890,2022-06-12,Barakaldo
546,662,780,2022-06-11,Barakaldo
498,490,441,2022-06-10,Barakaldo
721,440,890,2022-06-09,Barakaldo
979,523,570,2022-06-08,Barakaldo
456,406,443,2022-06-07,Barakaldo
796,652,448,2022-06-06,Barakaldo
913,659,464,2022-06-05,Barakaldo
979,353,788,2022-06-04,Barakaldo
554,759,670,2022-06-03,Barakaldo
852,768,426,2022-06-02,Barakaldo
735,873,324,2022-06-01,Barakaldo
721,533,954,2022-05-31,Barakaldo
904,330,715,2022-05-30,Barakaldo
493,683,518,2022-05-29,Barakaldo
721,667,625,2022-05-28,Barakaldo
614,507,998,2022-05-27,Barakaldo
431,372,797,2022-05-26,Barakaldo
592,883,320,2022-05-25,Barakaldo
323,525,676,2022-05-24,Barakaldo
457,939,920,2022-05-23,Barakaldo
422,575,959,2022-05-22,Barakaldo
481,411,352,2022-05-21,Barakaldo
990,594,533,2022-05-20,Barakaldo
718,781,527,2022-05-19,Barakaldo
867,630,348,2022-05-18,Barakaldo
745,503,808,2022-05-17,Barakaldo
351,591,473,2022-05-16,Barakaldo
989,490,915,2022-05-15,Barakaldo
931,977,619,2022-05-14,Barakaldo
625,651,584,2022-05-13,Barakaldo
778,337,705,2022-05-12,Barakaldo
365,580,976,2022-05-11,Barakaldo
987,592,489,2022-05-10,Barakaldo
504,500,492,2022-05-09,Barakaldo
449,589,357,2022-05-08,Barakaldo
475,309,633,2022-05-07,Barakaldo
334,995,891,2022-05-06,Barakaldo
456,927,735,2022-05-05,Barakaldo
316,502,561,2022-05-04,Barakaldo
862,744,964,2022-05-03,Barakaldo
990,672,410,2022-05-02,Barakaldo
772,590,375,2022-05-01,Barakaldo
365,838,523,2022-04-30,Barakaldo
381,552,627,2022-04-29,Barakaldo
831,642,800,2022-04-28,Barakaldo
703,501,430,2022-04-27,Barakaldo
720,507,840,2022-04-26,Barakaldo
978,308,822,2022-04-25,Barakaldo
814,816,514,2022-04-24,Barakaldo
973,696,492,2022-04-23,Barakaldo
922,813,512,2022-04-22,Barakaldo
567,515,356,2022-04-21,Barakaldo
818,534,598,2022-04-20,Barakaldo
368,494,631,2022-04-19,Barakaldo
688,429,849,2022-04-18,Barakaldo
394,390,382,2022-04-17,Barakaldo
768,763,521,2022-04-16,Barakaldo
681,761,942,2022-04-15,Barakaldo
737,731,990,2022-04-14,Barakaldo
690,441,727,2022-04-13,Barakaldo
843,706,953,2022-04-12,Barakaldo
894,437,351,2022-04-11,Barakaldo
327,662,666,2022-04-10,Barakaldo
531,855,746,2022-04-09,Barakaldo
988,648,518,2022-04-08,Barakaldo
810,776,671,2022-04-07,Barakaldo
949,413,875,2022-04-06,Barakaldo
554,470,961,2022-04-05,Barakaldo
852,643,362,2022-04-04,Barakaldo
970,814,394,2022-04-03,Barakaldo
570,427,970,2022-04-02,Barakaldo
314,593,556,2022-04-01,Barakaldo
763,906,429,2022-03-31,Barakaldo
523,668,650,2022-03-30,Barakaldo
810,679,651,2022-03-29,Barakaldo
463,594,660,2022-03-28,Barakaldo
979,884,944,2022-03-27,Barakaldo
526,731,465,2022-03-26,Barakaldo
620,385,835,2022-03-25,Barakaldo
502,384,427,2022-03-24,Barakaldo
885,405,325,2022-03-23,Barakaldo
702,401,607,2022-03-22,Barakaldo
573,624,331,2022-03-21,Barakaldo
524,558,398,2022-03-20,Barakaldo
640,932,574,2022-03-19,Barakaldo
971,880,502,2022-03-18,Barakaldo
787,608,846,2022-03-17,Barakaldo
855,969,499,2022-03-16,Barakaldo
968,877,550,2022-03-15,Barakaldo
340,628,854,2022-03-14,Barakaldo
855,913,812,2022-03-13,Barakaldo
662,751,513,2022-03-12,Barakaldo
470,842,383,2022-03-11,Barakaldo
619,935,997,2022-03-10,Barakaldo
546,552,683,2022-03-09,Barakaldo
977,910,541,2022-03-08,Barakaldo
489,496,604,2022-03-07,Barakaldo
889,772,474,2022-03-06,Barakaldo
894,869,573,2022-03-05,Barakaldo
974,959,520,2022-03-04,Barakaldo
456,517,701,2022-03-03,Barakaldo
353,829,522,2022-03-02,Barakaldo
593,680,617,2022-03-01,Barakaldo
979,861,877,2022-02-28,Barakaldo
401,737,620,2022-02-27,Barakaldo
732,444,591,2022-02-26,Barakaldo
977,880,667,2022-02-25,Barakaldo
701,804,930,2022-02-24,Barakaldo
913,578,473,2022-02-23,Barakaldo
990,676,644,2022-02-22,Barakaldo
828,502,982,2022-02-21,Barakaldo
932,622,969,2022-02-20,Barakaldo
767,983,915,2022-02-19,Barakaldo
414,393,506,2022-02-18,Barakaldo
970,693,852,2022-02-17,Barakaldo
337,839,785,2022-02-16,Barakaldo
366,945,514,2022-02-15,Barakaldo
367,369,360,2022-02-14,Barakaldo
919,352,664,2022-02-13,Barakaldo
838,505,910,2022-02-12,Barakaldo
367,825,626,2022-02-11,Barakaldo
792,502,320,2022-02-10,Barakaldo
907,929,522,2022-02-09,Barakaldo
956,435,400,2022-02-08,Barakaldo
470,988,435,2022-02-07,Barakaldo
340,619,706,2022-02-06,Barakaldo
305,986,555,2022-02-05,Barakaldo
783,385,583,2022-02-04,Barakaldo
722,602,724,2022-02-03,Barakaldo
749,804,618,2022-02-02,Barakaldo
494,484,580,2022-02-01,Barakaldo
379,522,529,2022-01-31,Barakaldo
829,892,807,2022-01-30,Barakaldo
902,881,988,2022-01-29,Barakaldo
784,621,426,2022-01-28,Barakaldo
919,965,334,2022-01-27,Barakaldo
898,529,513,2022-01-26,Barakaldo
423,947,940,2022-01-25,Barakaldo
663,656,999,2022-01-24,Barakaldo
551,320,422,2022-01-23,Barakaldo
860,396,405,2022-01-22,Barakaldo
709,809,996,2022-01-21,Barakaldo
829,986,773,2022-01-20,Barakaldo
919,617,698,2022-01-19,Barakaldo
921,875,598,2022-01-18,Barakaldo
500,588,914,2022-01-17,Barakaldo
542,955,731,2022-01-16,Barakaldo
571,330,719,2022-01-15,Barakaldo
661,838,780,2022-01-14,Barakaldo
832,702,434,2022-01-13,Barakaldo
895,326,876,2022-01-12,Barakaldo
663,747,850,2022-01-11,Barakaldo
873,726,760,2022-01-10,Barakaldo
726,325,879,2022-01-09,Barakaldo
685,935,310,2022-01-08,Barakaldo
918,709,337,2022-01-07,Barakaldo
513,373,313,2022-01-06,Barakaldo
909,586,828,2022-01-05,Barakaldo
