fecha_inicio,fecha_fin,nombre
2022-09-08,2022-09-11,Alcobendas
2021-12-09,2021-12-13,Bilbao
2021-09-14,2021-09-18,Mostoles
2022-04-29,2022-05-02,Barakaldo
2021-05-25,2021-05-28,Bilbao
2022-06-11,2022-06-13,Mostoles
2022-01-12,2022-01-16,Bilbao
2022-03-15,2022-03-19,Barakaldo
2021-07-20,2021-07-23,Bilbao
2022-01-05,2022-01-09,Alcobendas
2023-08-05,2023-08-06,Mostoles
2023-02-28,2023-03-04,Bilbao
2021-11-05,2021-11-09,Alcobendas
2023-07-15,2023-07-16,Alcobendas
2022-12-14,2022-12-17,Bilbao
2022-03-26,2022-03-28,Bilbao
2022-10-19,2022-10-20,Bilbao
2021-10-09,2021-10-13,Alcobendas
2021-11-23,2021-11-24,Alcobendas
2021-04-01,2021-04-03,Barakaldo
2023-08-25,2023-08-28,Bilbao
2021-05-15,2021-05-19,Bilbao
2022-01-19,2022-01-20,Barakaldo
2021-08-31,2021-09-02,Barakaldo
2022-04-13,2022-04-14,Bilbao
2021-11-11,2021-11-13,Bilbao
2023-07-08,2023-07-12,Mostoles
2022-04-03,2022-04-04,Barakaldo
2021-06-20,2021-06-24,Mostoles
2022-09-21,2022-09-24,Mostoles
2022-10-23,2022-10-25,Bilbao
2021-09-28,2021-09-30,Bilbao
2022-02-17,2022-02-18,Alcobendas
2023-09-01,2023-09-05,Alcobendas
2021-05-11,2021-05-14,Alcobendas
2021-10-10,2021-10-11,Barakaldo
2021-04-05,2021-04-09,Mostoles
2023-04-15,2023-04-17,Barakaldo
2022-05-23,2022-05-26,Alcobendas
2022-04-29,2022-05-01,Barakaldo
2021-10-22,2021-10-23,Alcobendas
2021-06-25,2021-06-26,Mostoles
2023-10-25,2023-10-27,Mostoles
2023-06-02,2023-06-06,Alcobendas
2022-10-05,2022-10-08,Alcobendas
2022-04-13,2022-04-14,Barakaldo
2022-05-06,2022-05-09,Alcobendas
2022-03-30,2022-03-31,Alcobendas
2021-12-29,2022-01-01,Alcobendas
2021-06-20,2021-06-23,Barakaldo
2023-07-26,2023-07-30,Bilbao
2023-06-03,2023-06-07,Barakaldo
2022-01-29,2022-01-31,Alcobendas
2021-03-11,2021-03-12,Barakaldo
2022-12-28,2022-12-30,Mostoles
2023-02-14,2023-02-15,Mostoles
2023-09-20,2023-09-22,Mostoles
2023-09-15,2023-09-18,Barakaldo
2021-08-13,2021-08-15,Bilbao
2021-07-04,2021-07-08,Barakaldo
2023-07-07,2023-07-08,Bilbao
2022-11-05,2022-11-06,Alcobendas
2021-08-21,2021-08-25,Barakaldo
2023-05-22,2023-05-25,Bilbao
2022-08-12,2022-08-16,Bilbao
2021-04-18,2021-04-19,Bilbao
2021-04-15,2021-04-18,Barakaldo
2021-09-25,2021-09-26,Alcobendas
2021-10-20,2021-10-24,Bilbao
2023-08-15,2023-08-16,Barakaldo
2023-08-19,2023-08-22,Barakaldo
2023-04-04,2023-04-05,Bilbao
2023-03-16,2023-03-17,Mostoles
2023-04-17,2023-04-20,Bilbao
2022-02-10,2022-02-14,Mostoles
2022-05-16,2022-05-17,Alcobendas
2023-01-19,2023-01-23,Barakaldo
2022-08-26,2022-08-27,Mostoles
2022-04-28,2022-04-29,Mostoles
2023-07-08,2023-07-12,Bilbao
2023-01-21,2023-01-25,Mostoles
2022-08-17,2022-08-20,Mostoles
2022-02-03,2022-02-04,Barakaldo
2021-05-18,2021-05-19,Mostoles
2022-03-03,2022-03-06,Alcobendas
2022-10-16,2022-10-17,Alcobendas
2021-04-11,2021-04-13,Mostoles
2022-01-17,2022-01-20,Mostoles
2022-03-13,2022-03-17,Mostoles
2021-12-14,2021-12-17,Barakaldo
2022-10-05,2022-10-09,Alcobendas
2022-10-20,2022-10-22,Alcobendas
2022-11-09,2022-11-11,Mostoles
2022-05-08,2022-05-10,Alcobendas
2022-09-03,2022-09-05,Mostoles
2022-10-31,2022-11-01,Bilbao
2022-04-02,2022-04-05,Barakaldo
2023-09-01,2023-09-05,Mostoles
2023-10-16,2023-10-17,Alcobendas
2021-07-22,2021-07-24,Alcobendas
2022-12-20,2022-12-23,Bilbao
2023-02-15,2023-02-19,Mostoles
2022-04-30,2022-05-04,Bilbao
2022-09-16,2022-09-18,Bilbao
2023-05-26,2023-05-27,Mostoles
2023-04-13,2023-04-17,Mostoles
2022-04-05,2022-04-08,Mostoles
2023-06-13,2023-06-15,Alcobendas
2021-05-25,2021-05-28,Alcobendas
2023-10-22,2023-10-23,Alcobendas
2022-11-06,2022-11-09,Bilbao
2023-06-06,2023-06-07,Mostoles
2022-02-21,2022-02-25,Barakaldo
2023-06-07,2023-06-11,Mostoles
2021-07-26,2021-07-28,Barakaldo
2023-08-23,2023-08-25,Bilbao
2022-07-11,2022-07-14,Bilbao
2023-03-12,2023-03-14,Alcobendas
2022-03-10,2022-03-14,Barakaldo
2022-11-21,2022-11-22,Barakaldo
2021-06-15,2021-06-18,Bilbao
2023-05-31,2023-06-03,Barakaldo
2022-02-14,2022-02-18,Barakaldo
2023-01-13,2023-01-15,Mostoles
2022-06-30,2022-07-04,Alcobendas
2022-03-30,2022-04-01,Bilbao
2023-06-14,2023-06-16,Mostoles
2022-06-13,2022-06-16,Bilbao
2022-07-03,2022-07-04,Mostoles
2022-08-13,2022-08-17,Alcobendas
2023-11-05,2023-11-06,Mostoles
2022-12-16,2022-12-20,Bilbao
2021-12-29,2021-12-30,Bilbao
2023-11-25,2023-11-29,Bilbao
2021-04-17,2021-04-18,Bilbao
2023-08-12,2023-08-16,Mostoles
2023-02-21,2023-02-25,Bilbao
2023-10-08,2023-10-11,Bilbao
2023-07-25,2023-07-29,Barakaldo
2021-04-14,2021-04-16,Mostoles
