evento_nombre,nombre,fecha_fin
73ddff84245982346fb8,Alcobendas,2022-08-17
5f76e3525f3e92f2ecc4,Mostoles,2023-11-06
b4fdb1e1888c550d83b9,Bilbao,2022-12-20
312de7fbb58cb83c3b53,Bilbao,2021-12-30
3a5afcf5e4f7e9546f21,Bilbao,2023-11-29
18cfa0d0804335965c49,Bilbao,2021-04-18
ab258e45f4b06911207a,Mostoles,2023-08-16
ee6bc141bcfc0d0ae046,Bilbao,2023-02-25
b7b8651ba9d14fc7bc7e,Bilbao,2023-10-11
3c02eb593fa56921f33b,Barakaldo,2023-07-29
79c1dbfed009faf6a7d9,Mostoles,2021-04-16
