e,participantes,nombre,fecha_fin
d77fdb186c3527d8b73f,58,Barakaldo,2023-11-25
9edeaab7eb0c92acabaa,125,Barakaldo,2023-03-06
ee9f07e0aa602add9c19,39,Bilbao,2022-01-02
1e3ce9a6d963743b6569,108,Alcobendas,2022-02-16
5753a22512ee3799d08d,107,Bilbao,2022-12-03
0488c85fcb903dbcd0c9,77,Mostoles,2023-08-06
7a2dfa8b955d16159580,79,Alcobendas,2021-08-15
bcd0e938d29514a31a55,30,Mostoles,2022-03-20
5c17ecb80bef4a64b7a4,80,Alcobendas,2022-02-20
ccc8edf1d0cc5ffb31d4,81,Alcobendas,2022-09-11
7b3803a800b9040b26ef,108,Bilbao,2021-12-13
0c1c52b45d9965b4eb02,174,Mostoles,2021-09-18
b4b3f27b4bec42dce5fa,141,Barakaldo,2022-05-02
71adff1ff6f110c480eb,165,Bilbao,2021-05-28
97283795a75d7e9fdf03,104,Mostoles,2022-06-13
90f94f63b258c9ad69b9,82,Bilbao,2022-01-16
92e45a72b87393ee281c,176,Barakaldo,2022-03-19
fdcac00ac5ec72ebabf8,155,Bilbao,2021-07-23
f567f396b30e517a85f6,91,Alcobendas,2022-01-09
30b0150e286693858558,48,Mostoles,2023-08-06
105caff3439bc5894b4d,122,Bilbao,2023-03-04
d31cd37907fa882dc424,63,Alcobendas,2021-11-09
58d878a9e4e148be798d,109,Alcobendas,2023-07-16
74ea4cd5c8c494172902,139,Bilbao,2022-12-17
a853e84cf6de537b35f0,104,Bilbao,2022-03-28
2b35a7e7d72b2ac94ca2,98,Bilbao,2022-10-20
fca059cfafca2592112e,151,Alcobendas,2021-10-13
4c373bc92ed84fe6e8b6,33,Alcobendas,2021-11-24
2dd452037a5a6d88cae4,166,Barakaldo,2021-04-03
0c6f25d12d973169fa1b,160,Bilbao,2023-08-28
1b0602c862583c6a5e01,174,Bilbao,2021-05-19
1e02d16b3532d4da34a5,79,Barakaldo,2022-01-20
f4c1abcec0b715131001,144,Barakaldo,2021-09-02
fd496795c280d17a1c06,66,Bilbao,2022-04-14
7e7485ff07d2febf457a,65,Bilbao,2021-11-13
892d4aef5966a4a7dfea,52,Mostoles,2023-07-12
d4a84b7cf20519d41131,163,Barakaldo,2022-04-04
36a90e4044d72a265837,44,Mostoles,2021-06-24
c0b9c589adb18ba67f0f,144,Mostoles,2022-09-24
cf77518f9335c94321c9,167,Bilbao,2022-10-25
7e18a438250c855f8d0c,81,Bilbao,2021-09-30
236ce57a5cfa47728696,144,Alcobendas,2022-02-18
acdc1aca386411bca69d,34,Alcobendas,2023-09-05
47fa8c84c09b522d233e,148,Alcobendas,2021-05-14
b5a99fcf21e93465ab50,151,Barakaldo,2021-10-11
a148d119ac423527b5ed,105,Mostoles,2021-04-09
776e022d8ccbd32268af,128,Barakaldo,2023-04-17
0d6e1e21c77c116ad9d0,167,Alcobendas,2022-05-26
84b990fb29c5a9394f50,41,Barakaldo,2022-05-01
864c9e18ac2cfe21aa0b,99,Alcobendas,2021-10-23
1ed2a52d737517464d69,94,Mostoles,2021-06-26
964593003b6875e92e43,50,Mostoles,2023-10-27
00ef61107bed605d446c,46,Alcobendas,2023-06-06
4e15dc26b20b013bea44,35,Alcobendas,2022-10-08
c9215a38a746f41c7d09,76,Barakaldo,2022-04-14
1c84e0ec0ce223029d88,173,Alcobendas,2022-05-09
432e178efac6cd66673c,129,Alcobendas,2022-03-31
9b9f38ae6b25ee70d9e4,157,Alcobendas,2022-01-01
c84df480f7bc4e524b4c,177,Barakaldo,2021-06-23
df82138ffecbd9555a42,89,Bilbao,2023-07-30
d22eb822a37e2e37d677,125,Barakaldo,2023-06-07
bc840dc2d432f99fe4d1,110,Alcobendas,2022-01-31
4c9417b5d0a091f5dc44,152,Barakaldo,2021-03-12
b1aafb655851265e7577,127,Mostoles,2022-12-30
cef342d1585c18f29a9e,31,Mostoles,2023-02-15
f756ba440a897a76501a,113,Mostoles,2023-09-22
ce1fa78bc92ba6d86141,150,Barakaldo,2023-09-18
95f417f7a05e88255ae2,178,Bilbao,2021-08-15
f283c0766ff7c95ae317,175,Barakaldo,2021-07-08
d26fc618c8f791f95902,107,Bilbao,2023-07-08
4ef25a810a111e1f7bd8,125,Alcobendas,2022-11-06
b852f6f2afb1af38d6bf,77,Barakaldo,2021-08-25
02c1f568eabd05935420,140,Bilbao,2023-05-25
5fe6f933606d74786957,132,Bilbao,2022-08-16
ff37dad94849173716d7,63,Bilbao,2021-04-19
cead897af51ad7b86d9d,155,Barakaldo,2021-04-18
997ec3e3cae8f0884861,131,Alcobendas,2021-09-26
4835742537e88c08a742,141,Bilbao,2021-10-24
a5062bd6b8edac773d64,93,Barakaldo,2023-08-16
3d347539d9478d14b0de,97,Barakaldo,2023-08-22
ba67a74a527a5575d5b6,96,Bilbao,2023-04-05
a70c2ad5c20b8c9d1554,94,Mostoles,2023-03-17
efa6582345c84623af4c,125,Bilbao,2023-04-20
9703a60669c39c32676a,159,Mostoles,2022-02-14
7acdd498dad6828687bb,81,Alcobendas,2022-05-17
6c04691d7343d3fd9805,83,Barakaldo,2023-01-23
39070ed4eaea32aafb20,84,Mostoles,2022-08-27
c15a71182186655c28c2,52,Mostoles,2022-04-29
51224325a9a9262f2f93,84,Bilbao,2023-07-12
cc415468d75be3653499,90,Mostoles,2023-01-25
3d7fe0da71189a3812a3,110,Mostoles,2022-08-20
8ecb4db5f9c90ddd5de3,46,Barakaldo,2022-02-04
0c144bd6a57d9ad08779,59,Mostoles,2021-05-19
19311de6f86ff9f5ab53,92,Alcobendas,2022-03-06
47c478ee0f5591da4b9f,154,Alcobendas,2022-10-17
06e5f0fd618a35e693fc,73,Mostoles,2021-04-13
0c5ac3376f5020cb0ea0,34,Mostoles,2022-01-20
567e2679638ac9803db3,94,Mostoles,2022-03-17
96020548c5125215d71d,80,Barakaldo,2021-12-17
b36c608f55d66c4a3c68,128,Alcobendas,2022-10-09
6514c64996829e3b615b,56,Alcobendas,2022-10-22
53dd1e74ad3b6ee1924c,127,Mostoles,2022-11-11
30098c982597da84bd73,33,Alcobendas,2022-05-10
cd8c5bd4386585ed0862,34,Mostoles,2022-09-05
a74c87b954f174e759b7,70,Bilbao,2022-11-01
4c874bfb7a9bd4ec2c3c,54,Barakaldo,2022-04-05
347ca9abd3f826fc8aed,91,Mostoles,2023-09-05
3d000964161845f1c0b1,167,Alcobendas,2023-10-17
bb82fba348e46a7e7db8,129,Alcobendas,2021-07-24
6252f942a87b5a5f05ae,76,Bilbao,2022-12-23
39e56a9c071005841175,165,Mostoles,2023-02-19
5b66f2143c9cdd64782a,78,Bilbao,2022-05-04
c37891f339acd3380454,141,Bilbao,2022-09-18
c3b369f8dfe1a73a7cb6,173,Mostoles,2023-05-27
aae44ccf1729a68e4b62,91,Mostoles,2023-04-17
a576b1ff9619c483fb71,100,Mostoles,2022-04-08
84105d67a0b6818977b8,57,Alcobendas,2023-06-15
0279fd16201bc53c235f,166,Alcobendas,2021-05-28
1652ca05026816e3d025,110,Alcobendas,2023-10-23
b8429f8c6536a7dab694,49,Bilbao,2022-11-09
a73dc84e2818e618d51e,42,Mostoles,2023-06-07
0cfb10088315b7d70c7d,35,Barakaldo,2022-02-25
3dca2bfc054512dea467,55,Mostoles,2023-06-11
1a6384c53ba568a47c85,57,Barakaldo,2021-07-28
242a61f07da3fd453370,173,Bilbao,2023-08-25
612fa3420138fb174b00,123,Bilbao,2022-07-14
8759e8fc4a613cc427db,67,Alcobendas,2023-03-14
02fa2687207abe076a84,173,Barakaldo,2022-03-14
0dc6561226f8c25f791b,32,Barakaldo,2022-11-22
f382e042591ad53acc3b,48,Bilbao,2021-06-18
e981ef13cc77472725df,151,Barakaldo,2023-06-03
d69e382d6d0286e4e340,85,Barakaldo,2022-02-18
b856fe66abcdddd4c24b,115,Mostoles,2023-01-15
dff267dd589af74f98eb,37,Alcobendas,2022-07-04
d9a4c0dc7d53fc82692f,83,Bilbao,2022-04-01
75922068d1b725a31dc4,78,Mostoles,2023-06-16
c7a551c023a339ce6d3a,126,Bilbao,2022-06-16
6516ebb9c0685a24a7ff,32,Mostoles,2022-07-04
73ddff84245982346fb8,147,Alcobendas,2022-08-17
5f76e3525f3e92f2ecc4,30,Mostoles,2023-11-06
b4fdb1e1888c550d83b9,109,Bilbao,2022-12-20
312de7fbb58cb83c3b53,144,Bilbao,2021-12-30
3a5afcf5e4f7e9546f21,66,Bilbao,2023-11-29
18cfa0d0804335965c49,101,Bilbao,2021-04-18
ab258e45f4b06911207a,131,Mostoles,2023-08-16
ee6bc141bcfc0d0ae046,152,Bilbao,2023-02-25
b7b8651ba9d14fc7bc7e,93,Bilbao,2023-10-11
3c02eb593fa56921f33b,60,Barakaldo,2023-07-29
79c1dbfed009faf6a7d9,94,Mostoles,2021-04-16
