papel,organico,envases,nombre,fecha
10669,8321,13716,Bilbao,2021-10-01
13674,13936,11391,Alcobendas,2021-10-01
10503,8610,10723,Mostoles,2021-10-01
6864,5709,14992,Barakaldo,2021-09-01
14050,9429,11050,Bilbao,2021-09-01
10082,11683,12412,Alcobendas,2021-09-01
12499,13095,9369,Mostoles,2021-09-01
7912,14158,12222,Barakaldo,2021-08-01
12079,5961,6104,Bilbao,2021-08-01
8278,8724,11644,Alcobendas,2021-08-01
11379,8771,12633,Mostoles,2021-08-01
5492,5410,6370,Barakaldo,2021-07-01
13669,8868,13657,Bilbao,2021-07-01
10583,10561,8629,Alcobendas,2021-07-01
14179,14072,5602,Mostoles,2021-07-01
7470,7050,13245,Barakaldo,2021-06-01
14028,12486,5789,Bilbao,2021-06-01
5497,7751,12546,Alcobendas,2021-06-01
7623,6780,10314,Mostoles,2021-06-01
14335,14066,5464,Barakaldo,2021-05-01
12202,9793,5110,Bilbao,2021-05-01
8434,12859,12000,Alcobendas,2021-05-01
8428,11956,8146,Mostoles,2021-05-01
10805,11921,6752,Barakaldo,2021-04-01
5787,9604,11094,Bilbao,2021-04-01
5129,9537,5076,Alcobendas,2021-04-01
14637,14655,5182,Mostoles,2021-04-01
6538,9367,10010,Barakaldo,2021-03-01
14940,11658,6438,Bilbao,2021-03-01
14780,14226,9743,Alcobendas,2021-03-01
7143,13073,9695,Mostoles,2021-03-01
7642,5475,5983,Barakaldo,2021-02-01
14216,10177,5163,Bilbao,2021-02-01
12995,13254,13823,Alcobendas,2021-02-01
12748,8005,9537,Mostoles,2021-02-01
14723,12728,9235,Barakaldo,2021-01-01
14667,14358,10004,Bilbao,2021-01-01
10845,14080,10043,Alcobendas,2021-01-01
8971,11054,11976,Mostoles,2021-01-01
8455,12962,6079,Barakaldo,2020-12-01
14488,7174,13560,Bilbao,2020-12-01
7675,6205,9955,Alcobendas,2020-12-01
14547,14097,9531,Mostoles,2020-12-01
