papel,envases,organico,fecha,nombre
9843,6553,13258,2022-01-01,Alcobendas
14406,5930,13091,2022-01-01,Mostoles
5716,9501,14027,2021-12-01,Barakaldo
12325,7207,11776,2021-12-01,Bilbao
6073,14184,8134,2021-12-01,Alcobendas
14543,8308,14891,2021-12-01,Mostoles
11720,5967,13576,2021-11-01,Barakaldo
14939,7073,14879,2021-11-01,Bilbao
9661,12613,11645,2021-11-01,Alcobendas
11595,5384,8372,2021-11-01,Mostoles
11141,7987,8001,2021-10-01,Barakaldo
10669,13716,8321,2021-10-01,Bilbao
13674,11391,13936,2021-10-01,Alcobendas
10503,10723,8610,2021-10-01,Mostoles
6864,14992,5709,2021-09-01,Barakaldo
14050,11050,9429,2021-09-01,Bilbao
10082,12412,11683,2021-09-01,Alcobendas
12499,9369,13095,2021-09-01,Mostoles
7912,12222,14158,2021-08-01,Barakaldo
12079,6104,5961,2021-08-01,Bilbao
8278,11644,8724,2021-08-01,Alcobendas
11379,12633,8771,2021-08-01,Mostoles
5492,6370,5410,2021-07-01,Barakaldo
13669,13657,8868,2021-07-01,Bilbao
10583,8629,10561,2021-07-01,Alcobendas
14179,5602,14072,2021-07-01,Mostoles
7470,13245,7050,2021-06-01,Barakaldo
14028,5789,12486,2021-06-01,Bilbao
5497,12546,7751,2021-06-01,Alcobendas
7623,10314,6780,2021-06-01,Mostoles
14335,5464,14066,2021-05-01,Barakaldo
12202,5110,9793,2021-05-01,Bilbao
8434,12000,12859,2021-05-01,Alcobendas
8428,8146,11956,2021-05-01,Mostoles
10805,6752,11921,2021-04-01,Barakaldo
5787,11094,9604,2021-04-01,Bilbao
5129,5076,9537,2021-04-01,Alcobendas
14637,5182,14655,2021-04-01,Mostoles
6538,10010,9367,2021-03-01,Barakaldo
14940,6438,11658,2021-03-01,Bilbao
14780,9743,14226,2021-03-01,Alcobendas
7143,9695,13073,2021-03-01,Mostoles
7642,5983,5475,2021-02-01,Barakaldo
14216,5163,10177,2021-02-01,Bilbao
12995,13823,13254,2021-02-01,Alcobendas
12748,9537,8005,2021-02-01,Mostoles
14723,9235,12728,2021-01-01,Barakaldo
14667,10004,14358,2021-01-01,Bilbao
10845,10043,14080,2021-01-01,Alcobendas
8971,11976,11054,2021-01-01,Mostoles
8455,6079,12962,2020-12-01,Barakaldo
14488,13560,7174,2020-12-01,Bilbao
7675,9955,6205,2020-12-01,Alcobendas
14547,9531,14097,2020-12-01,Mostoles
